NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:24:41	226559.52274590
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.005341	-0.033418	0.014191	0.063325	
0.013275	-0.026093	0.015411	0.084687	
0.041352	-0.012360	0.005035	-0.086518	
0.144503	-0.007477	-0.004425	-0.129244	
0.171664	-0.023041	-0.003815	-0.124971	
0.080720	-0.025177	0.001984	-0.072480	
0.015717	-0.021515	0.010529	0.130465	
-0.046540	-0.012970	0.024567	0.054170	
-0.111849	-0.005646	0.024261	0.128633	
-0.047761	0.024261	0.014191	0.100252	
0.005035	0.056306	0.004120	0.050202	
-0.067292	0.073396	0.004425	0.095980	
-0.106356	0.062409	0.000153	0.208285	
-0.007172	0.056611	-0.001678	0.056916	
0.032807	0.053254	0.000458	0.019989	
0.022736	0.016022	0.005951	0.088349	
-0.016937	0.002289	0.008392	0.008087	
-0.069428	-0.021820	-0.002289	-0.031587	
-0.071565	-0.034028	-0.004425	-0.078279	
-0.043794	-0.044404	-0.001068	-0.100863	
-0.012360	-0.030365	0.022125	-0.034333	
0.005951	-0.014801	0.029144	-0.044099	
0.009918	-0.001373	0.017853	-0.078279	
0.010529	0.000458	0.019989	-0.043489	
0.011749	-0.001068	0.026093	-0.007782	
0.008698	-0.007172	0.015411	0.043794	
0.007172	-0.009613	0.018768	0.009003	
0.025787	-0.004120	0.019073	-0.050813	
0.044404	0.008698	0.007172	-0.070344	
0.058137	0.025177	0.002594	-0.079194	
0.055085	0.028229	0.007782	-0.056611	
0.032807	0.046235	0.019379	-0.034638	
0.012665	0.037995	0.012054	-0.009918	
-0.008087	0.014801	0.013275	0.042878	
-0.019989	-0.004425	0.005951	0.008087	
-0.022125	-0.012054	0.005341	-0.065461	
-0.044099	-0.033723	0.002594	-0.082856	
-0.060578	-0.029755	0.016632	-0.044709	
-0.075837	-0.037080	0.006561	-0.054170	
-0.072480	-0.010223	0.004730	-0.064240	
-0.077668	0.024567	0.002289	-0.005035	
-0.045625	0.048982	-0.002289	0.061494	
-0.037385	0.077058	-0.011139	0.033723	
-0.039826	0.064240	-0.011139	0.024872	
0.003815	0.015106	0.008698	-0.020294	
-0.005646	-0.034028	0.015411	-0.052644	
0.048066	-0.041963	0.017853	-0.067903	
0.220798	-0.041963	0.012665	-0.026703	
0.208591	-0.039216	0.015411	0.073396	
0.053254	-0.013580	0.016327	0.236057	
-0.014191	0.030670	0.018463	0.082551	
-0.043183	0.052033	0.007782	-0.062409	
-0.061799	0.070649	0.007172	-0.015106	
-0.133516	0.062715	-0.003204	0.027008	
-0.186007	0.038301	0.001678	0.025177	
-0.165866	0.012665	0.004730	0.005951	
-0.063020	-0.014801	0.001068	-0.012970	
0.057832	-0.068208	0.000458	-0.023651	
0.073091	-0.112459	0.008087	-0.013885	
0.076142	-0.093537	0.014191	-0.009003	
0.056001	-0.027313	0.015411	-0.024261	
0.012970	-0.027008	0.012054	-0.031892	
0.076142	0.004120	0.005951	-0.016327	
0.128633	0.045014	0.002289	-0.021210	
0.069428	0.045014	0.002289	-0.060578	
0.013275	0.026398	0.012054	-0.068818	
-0.032502	0.013275	0.008087	-0.076142	
-0.069428	0.008698	0.009918	-0.139315	
-0.092011	-0.007172	0.008392	-0.134432	
-0.078279	-0.008392	0.021210	0.111849	
-0.053864	-0.020294	0.019073	0.090486	
-0.019073	0.000153	0.026398	-0.160678	
0.002899	0.044099	0.012054	-0.131075	
0.037080	0.040742	0.021515	0.183871	
0.018463	0.003815	0.025177	0.136873	
0.013275	-0.000763	0.018158	0.124361	
0.029144	-0.001984	0.005951	0.094454	
-0.039216	-0.012970	-0.002899	0.018158	
-0.051728	-0.008087	-0.011749	0.011444	
0.023651	0.005951	-0.029755	0.000763	
0.038606	0.037080	-0.009613	-0.048982	
0.036164	0.063020	0.008698	-0.073396	
0.012054	0.068818	0.010529	0.016327	
-0.039216	0.056306	-0.001068	0.003815	
-0.071565	0.043183	-0.002899	-0.017242	
-0.065766	0.005646	-0.024261	-0.042573	
0.004120	-0.034333	-0.040132	0.028839	
0.040132	-0.081941	0.028534	0.046845	
0.035859	-0.055085	0.088044	0.005035	
-0.001678	-0.031587	0.052339	0.002594	
-0.027008	-0.011139	0.022125	-0.000763	
-0.058442	-0.027924	0.016022	-0.017548	
-0.041047	-0.025787	0.012665	-0.019684	
-0.019684	-0.006256	0.012665	-0.046235	
-0.009613	0.008698	0.014191	-0.108797	
-0.009613	0.015106	0.012054	-0.196994	
-0.014191	0.001984	0.010834	-0.335546	
-0.009003	-0.001068	0.022736	-0.454261	
0.000153	0.009003	0.028839	-0.376745	
0.004730	0.010834	0.025482	0.098726	
0.002289	0.004120	0.016937	0.276951	
0.010223	0.009003	0.013885	0.215610	
-0.000763	0.010834	-0.001678	0.460975	
-0.005341	0.023956	0.008698	0.422217	
0.046540	0.020294	0.016022	0.125887	
0.163424	0.018768	0.016937	0.090180	
0.148470	-0.009918	0.006866	0.109102	
0.024872	-0.010223	0.006256	0.092011	
-0.075837	-0.003815	-0.003815	0.074006	
-0.082246	0.007172	-0.006866	0.074311	
-0.063935	0.008392	-0.014496	0.004120	
-0.065766	0.008087	-0.017853	-0.031587	
-0.093232	-0.001068	-0.005951	-0.029755	
-0.103304	0.002899	-0.004425	-0.038606	
-0.048982	0.008698	-0.010834	-0.035859	
0.006561	-0.001984	-0.024261	-0.091096	
0.045320	-0.008392	-0.013275	-0.109102	
0.026703	-0.016327	-0.019684	-0.133821	
0.010529	-0.010834	-0.019684	-0.241550	
0.002289	-0.013885	-0.023956	-0.344397	
0.014801	-0.005341	-0.009918	-0.422828	
0.008698	-0.016022	0.018768	-0.797284	
0.013275	-0.016937	0.061494	-0.703288	
0.012360	-0.025787	0.092622	0.075837	
0.016327	0.007782	0.080720	0.138704	
0.022430	0.016937	0.036775	-0.269627	
0.024872	-0.006256	0.013885	0.440833	
0.014191	-0.019379	0.009918	1.171130	
0.013885	-0.019379	-0.003510	0.712443	
0.027924	-0.009918	-0.013580	0.161593	
0.039826	0.000153	-0.014496	0.070954	
0.038606	0.025177	-0.012360	0.140230	
0.008698	0.033418	-0.005951	0.028229	
-0.018158	0.048371	0.010223	-0.062409	
-0.056001	0.052033	0.009003	-0.006256	
-0.090180	0.075227	0.019989	0.083161	
-0.106050	0.050508	0.006256	0.066987	
-0.070954	0.052949	0.011139	0.249485	
-0.094454	0.071565	0.006866	0.339818	
-0.121309	0.051118	0.004425	0.181125	
-0.050202	-0.003815	0.001068	0.016937	
0.005646	-0.043794	0.000153	0.066987	
0.114595	-0.050508	0.001678	-0.133516	
0.244907	-0.042268	-0.001373	-0.443885	
0.177157	-0.029755	-0.005646	-0.600138	
0.038301	-0.011139	-0.003204	-0.307469	
-0.045014	0.010223	0.008087	-0.294652	
-0.070039	0.031281	0.029144	-0.115511	
-0.051118	0.020599	0.024872	0.474098	
-0.048982	0.011749	0.006866	0.104525	
-0.027008	0.019379	-0.006866	-0.098726	
0.010529	0.011749	-0.017548	0.001678	
0.010529	0.018768	-0.001373	-0.122225	
0.011139	-0.009918	0.005035	-0.319676	
0.032197	-0.028229	0.025482	0.024872	
-0.043489	-0.056611	0.026093	0.442664	
-0.054475	-0.057527	0.023956	0.141451	
-0.001678	-0.037995	0.025482	-0.017548	
0.042268	-0.007172	0.008392	0.105135	
0.029755	0.011749	0.000458	0.244297	
-0.006256	0.030975	0.003204	-0.036469	
-0.050508	0.028229	0.005035	-0.094759	
-0.083467	0.019073	-0.000153	-0.063325	
-0.052033	0.005035	0.001984	-0.097811	
0.019989	0.016632	0.008087	-0.023651	
0.033723	0.042573	0.015411	0.051423	
0.014191	0.055390	0.008392	-0.050813	
0.031892	0.059968	0.011139	-0.063325	
-0.004120	0.030975	0.003204	-0.059052	
-0.027924	0.004730	0.013885	-0.064546	
-0.040132	-0.030975	0.012665	-0.077058	
-0.016022	-0.061799	0.012665	-0.080415	
-0.008087	-0.062715	0.012665	-0.074006	
-0.049592	-0.051118	0.014496	-0.062715	
-0.092622	-0.034944	0.004730	-0.065156	
-0.087434	-0.016937	0.003204	-0.054475	
-0.095064	0.001678	0.009003	-0.045930	
-0.068208	-0.004120	0.005035	-0.041657	
-0.015106	-0.008392	0.005341	-0.033418	
0.002594	0.012665	0.004730	-0.029755	
0.004730	0.020905	0.008087	-0.018158	
0.043794	0.021820	0.011139	-0.028839	
0.098116	0.029144	0.020294	-0.056916	
0.079804	0.007782	0.014801	-0.047761	
0.056916	0.018158	0.028229	-0.034333	
0.028534	0.014801	0.019073	0.013885	
0.024872	0.010834	0.016632	0.032807	
0.012360	0.003815	0.004730	-0.014191	
0.016937	0.010529	0.008392	0.006561	
0.010529	0.007172	0.015411	0.006866	
0.013275	0.014801	0.007782	0.015106	
-0.001068	0.004425	-0.001373	0.006256	
-0.013885	0.010834	0.038911	0.016022	
-0.016327	0.013885	0.063630	0.009918	
0.012054	0.010529	0.024261	0.007172	
0.037995	-0.008392	-0.056001	0.006866	
0.040742	-0.012054	-0.113985	0.012665	
0.020599	-0.023041	-0.155184	0.011444	
-0.007782	-0.029755	-0.146639	0.022736	
-0.026398	-0.018463	0.034638	0.030975	
-0.039216	-0.002899	0.188144	-0.019684	
-0.031892	0.012970	0.107882	-0.045930	
-0.019989	0.029144	0.014496	-0.069428	
-0.042268	0.036164	0.017242	-0.207370	
-0.085603	0.034028	0.018463	-0.320592	
-0.048066	0.029755	0.019073	-0.364538	
0.009613	0.009003	0.024567	-0.176852	
0.051118	0.007172	0.034028	0.235752	
0.050508	0.001678	0.038606	0.263828	
0.027924	0.014191	0.029144	0.172275	
-0.008392	0.007172	0.027924	0.262608	
-0.029449	0.012665	0.027924	0.186923	
-0.027618	0.008087	0.022125	0.224155	
-0.007782	0.004425	0.011139	0.308080	
0.003204	0.011139	0.000458	0.228428	
-0.009613	0.003204	-0.008087	0.096285	
-0.044404	-0.009003	-0.010223	0.043183	
-0.061799	-0.013885	-0.009613	0.012970	
-0.025177	0.005035	0.002594	-0.013580	
-0.017242	0.000458	0.001678	-0.038606	
-0.011139	-0.005341	0.002289	-0.051728	
-0.024261	-0.037080	-0.002289	-0.074922	
-0.003204	-0.034333	0.001068	-0.072480	
0.042268	-0.034333	-0.007477	-0.071565	
0.081025	-0.035859	-0.008087	-0.063020	
0.028229	-0.025177	-0.012360	-0.126497	
0.000458	-0.000763	-0.009003	-0.311437	
-0.020294	0.003204	-0.010834	-0.416114	
-0.041657	0.004730	0.002594	-0.260166	
0.046235	-0.001678	0.030975	0.000763	
0.162509	0.005951	0.043489	0.058137	
0.080415	0.038301	0.050813	-0.121920	
-0.019073	0.066987	0.030060	-0.092317	
-0.100252	0.049287	0.001984	0.229649	
-0.111849	0.031892	-0.020599	0.272068	
-0.064240	0.012054	-0.013885	0.181735	
-0.050202	-0.040437	-0.016327	0.069734	
