NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:26:38	226676.59644540
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2312.026	812.086	996.357	-2342.166	565.376	984.307	-2466.495	638.741	458.949	-2498.602	547.102	487.111	-2838.804	662.567	263.679	-2815.030	603.225	236.671	-2749.144	578.865	24.227	-2508.672	701.421	985.886
-2307.618	812.998	996.853	-2337.881	566.043	985.057	-2457.312	638.366	458.662	-2489.275	546.485	486.725	-2829.897	663.121	266.881	-2807.003	603.334	239.256	-2746.911	578.332	23.057	-2504.403	702.267	986.346
-2303.278	813.544	997.456	-2333.986	566.594	985.993	-2447.826	637.951	458.650	-2479.762	545.790	486.230	-2821.563	663.697	270.330	-2799.470	603.619	242.037	-2744.440	578.210	21.716	-2500.224	703.137	986.752
-2299.090	814.140	998.029	-2330.301	566.946	987.186	-2438.605	637.696	458.333	-2470.619	545.177	486.026	-2813.561	664.555	273.111	-2791.959	604.020	245.219	-2739.651	577.241	23.026	-2496.083	703.967	987.232
-2294.929	814.551	998.774	-2326.223	567.570	988.048	-2429.147	637.265	458.344	-2461.250	544.440	486.014	-2805.691	665.158	276.080	-2784.302	604.449	247.910	-2733.462	576.260	27.005	-2492.036	704.794	987.765
-2290.859	815.171	999.224	-2322.281	568.041	989.063	-2419.865	636.878	458.462	-2451.917	543.839	485.865	-2797.689	666.017	278.473	-2776.414	604.873	250.358	-2726.163	575.174	31.424	-2487.934	705.573	988.327
-2286.808	815.910	999.674	-2318.441	568.495	990.147	-2410.603	636.510	458.517	-2442.715	543.155	486.073	-2789.626	666.885	280.689	-2768.591	605.392	252.887	-2718.110	574.520	34.717	-2483.943	706.299	988.845
-2282.991	816.082	1000.624	-2314.515	569.035	991.089	-2401.228	636.004	458.796	-2433.547	542.515	486.261	-2781.653	667.907	282.811	-2760.560	605.933	255.390	-2709.754	573.748	37.282	-2479.929	706.978	989.342
-2279.030	817.042	1000.691	-2310.454	569.591	992.137	-2392.186	635.615	459.085	-2424.507	541.880	486.737	-2773.614	668.981	284.413	-2752.588	606.717	257.698	-2700.632	572.624	40.331	-2476.013	707.578	989.990
-2275.006	817.144	1001.688	-2306.459	570.180	993.117	-2382.818	635.088	459.397	-2415.591	541.306	487.225	-2765.705	669.887	286.093	-2744.510	607.431	259.964	-2691.525	572.366	41.813	-2471.996	708.164	990.627
