NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:47:44	227941.92027560
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.009003	0.005951	0.008087	-0.000763	
-0.009003	0.002289	0.004730	-0.002289	
-0.009308	0.005035	0.004120	-0.005951	
-0.003815	0.002289	0.005035	-0.007782	
0.001068	0.004730	0.011749	-0.001373	
0.002899	-0.001984	0.001984	-0.008392	
0.016937	0.003815	0.008698	-0.004120	
0.011139	-0.001984	0.000458	-0.008087	
0.007172	0.006256	0.009918	0.001068	
-0.010834	-0.001068	0.005341	-0.007477	
-0.011139	0.003815	0.008392	-0.011139	
-0.011444	0.008698	0.007172	-0.023346	
-0.017548	0.010223	0.010529	-0.023651	
-0.020905	0.005646	0.010529	-0.022430	
-0.018463	0.003815	0.011139	-0.012054	
-0.014801	0.007782	0.010529	-0.011749	
-0.011444	0.002899	0.006561	-0.013580	
0.006866	0.008392	0.013275	-0.005341	
0.004425	0.004425	0.008392	-0.005646	
0.007782	0.005035	0.015411	-0.003510	
-0.011139	-0.001373	0.005951	-0.011139	
-0.009003	0.010223	0.011139	-0.002289	
-0.009918	0.001984	0.005035	-0.007477	
0.001068	0.010529	0.012054	0.002289	
-0.008392	0.002594	0.006866	-0.000763	
-0.006866	0.004425	0.005341	-0.002899	
-0.007477	0.001678	0.003204	-0.011139	
-0.001373	0.007782	0.009308	-0.004120	
-0.005035	0.006256	0.007782	-0.005035	
-0.002289	0.003815	0.010223	-0.003204	
-0.005341	0.002289	0.008392	-0.008392	
-0.005341	0.007172	0.008392	-0.001678	
-0.003510	0.010529	0.010834	0.000153	
-0.002289	0.008087	0.010223	-0.006866	
-0.001068	0.004120	0.013275	-0.007477	
-0.006256	-0.003204	0.006256	-0.007477	
0.000458	0.014496	0.016327	-0.002289	
-0.010834	0.006561	0.006561	-0.017242	
-0.005951	0.005035	0.008392	-0.012054	
-0.009308	0.001068	0.012054	-0.005341	
-0.007477	-0.001984	0.011749	-0.003510	
-0.005951	-0.010223	0.006256	-0.003510	
-0.005341	-0.006256	0.009308	-0.001984	
-0.003815	-0.004120	0.008698	0.000153	
-0.009918	-0.002899	0.009918	0.009308	
-0.017548	-0.011749	0.000153	0.005341	
-0.011444	-0.010834	-0.001373	0.006561	
-0.016327	-0.012054	0.006256	0.008392	
-0.021210	-0.010834	0.001984	0.003815	
-0.013275	-0.011139	0.001678	-0.016632	
-0.002289	-0.012054	-0.000153	-0.036164	
0.011139	-0.007172	0.011139	-0.023956	
0.016327	-0.006866	0.009918	-0.026703	
0.024261	-0.006256	0.011139	-0.010223	
0.016327	-0.003815	0.012665	-0.002899	
0.006256	0.000763	0.013885	0.000763	
-0.005341	-0.001373	0.010834	-0.003510	
-0.007172	0.004120	0.011139	0.009918	
-0.015106	0.000458	0.008392	0.008087	
-0.010834	0.003815	0.006561	-0.002289	
-0.006256	-0.000763	0.007782	-0.009918	
-0.001068	-0.000153	0.006561	-0.015106	
-0.008392	0.001678	0.008698	-0.019073	
-0.011749	0.009003	0.011749	-0.024567	
-0.009003	0.014496	0.011139	-0.016632	
-0.007782	0.018158	0.010529	-0.006256	
-0.012054	0.013885	0.004730	-0.007782	
-0.020294	0.012970	0.007172	0.000153	
-0.013580	0.013885	0.005951	0.006561	
-0.005646	0.008087	0.009003	0.005035	
0.000153	0.009003	0.010529	0.008087	
0.001068	0.005646	0.005951	-0.005035	
0.001068	0.007782	0.008392	-0.011749	
-0.003204	0.005035	0.001984	-0.024567	
0.004120	0.014801	0.007782	-0.024567	
-0.002899	0.005646	0.002899	-0.034028	
-0.003510	0.007172	0.008392	-0.025787	
-0.016022	-0.000763	0.001678	-0.017853	
-0.010834	0.005951	0.006561	-0.000763	
-0.007782	0.008392	0.009308	-0.000763	
-0.002289	0.008392	0.013275	0.001678	
-0.008087	0.007172	0.014496	0.000153	
-0.009308	0.005951	0.010529	-0.004425	
-0.008392	0.007172	0.009918	-0.004120	
-0.005035	0.004730	0.009308	0.000153	
-0.001984	0.008698	0.013275	-0.000763	
-0.004120	0.002289	0.006256	-0.007172	
0.001984	0.002594	0.013275	-0.001373	
-0.005951	-0.001984	0.008698	-0.007477	
-0.002899	0.008087	0.009308	-0.003204	
-0.005646	0.005646	0.006256	-0.005646	
-0.001068	0.007782	0.010834	-0.004120	
-0.003204	0.009308	0.009003	0.000153	
-0.002289	0.010223	0.012970	0.008698	
-0.005646	0.003815	0.006561	0.003815	
0.001984	0.016022	0.007172	0.005341	
-0.008087	0.010834	0.008392	-0.001984	
-0.004425	0.004730	0.006256	-0.001984	
-0.007477	0.003204	0.004730	-0.000763	
-0.009613	0.000153	0.003204	-0.005951	
0.001068	0.008392	0.010529	-0.002289	
-0.004425	0.002899	0.005341	-0.007172	
-0.003510	-0.000763	0.007782	-0.008392	
-0.001068	-0.005951	0.007172	-0.012970	
