NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	549.236	270.470	497.507	427.614	180.017	516.178	339.079	294.401	129.668	266.210	240.315	134.296	205.656	328.001	29.257	466.087	119.691	61.682	104.389	600.607	683.904
0.000	0.000	0.000	549.260	270.455	497.523	427.653	180.014	516.208	339.088	294.424	129.671	266.197	240.332	134.277	205.671	328.015	29.274	466.060	119.682	61.675	104.424	600.612	684.283
0.000	0.000	0.000	549.241	270.427	497.524	427.671	180.000	516.256	339.072	294.394	129.724	266.174	240.331	134.281	205.686	328.011	29.273	466.076	119.685	61.652	104.529	600.584	684.676
0.000	0.000	0.000	549.241	270.386	497.503	427.691	179.987	516.317	339.060	294.383	129.735	266.185	240.313	134.340	205.676	327.996	29.311	466.108	119.680	61.663	104.593	600.557	685.058
0.000	0.000	0.000	549.248	270.381	497.539	427.730	179.963	516.401	339.062	294.310	129.771	266.220	240.294	134.348	205.663	327.960	29.317	466.096	119.684	61.652	104.818	600.562	685.522
0.000	0.000	0.000	549.232	270.341	497.550	427.748	179.975	516.451	339.090	294.327	129.839	266.244	240.217	134.351	205.703	327.950	29.321	466.100	119.674	61.645	104.988	600.600	685.883
0.000	0.000	0.000	549.257	270.322	497.565	427.725	179.954	516.522	339.104	294.283	129.830	266.289	240.193	134.341	205.700	327.951	29.329	466.117	119.674	61.654	105.178	600.719	686.233
0.000	0.000	0.000	549.212	270.272	497.580	427.748	179.942	516.584	339.086	294.290	129.891	265.657	240.950	134.410	205.716	328.004	29.350	466.117	119.680	61.642	105.359	600.800	686.666
0.000	0.000	0.000	549.194	270.230	497.632	427.676	179.973	516.667	339.069	294.190	130.074	266.222	240.249	134.359	205.741	327.996	29.379	466.156	119.686	61.673	105.491	600.872	687.121
0.000	0.000	0.000	549.179	270.201	497.668	427.705	179.930	516.736	339.082	294.244	129.944	266.224	240.255	134.363	205.721	327.981	29.392	466.127	119.692	61.674	105.574	600.848	687.581
0.000	0.000	0.000	549.138	270.166	497.703	427.587	179.955	516.820	339.072	294.202	129.974	266.179	240.268	134.335	205.753	328.013	29.356	466.114	119.672	61.680	105.693	600.883	688.055
0.000	0.000	0.000	549.126	270.085	497.765	427.572	179.932	516.896	339.063	294.113	130.215	266.261	240.216	134.419	205.737	327.985	29.393	466.129	119.669	61.659	105.906	600.906	688.601
0.000	0.000	0.000	549.089	270.028	497.795	427.537	179.911	516.957	339.077	294.167	130.071	266.287	240.163	134.398	205.767	327.989	29.343	466.118	119.654	61.678	106.056	600.919	689.012
0.000	0.000	0.000	548.992	269.952	497.830	427.481	179.858	517.091	339.074	294.147	130.086	266.277	240.178	134.401	205.764	327.981	29.357	466.124	119.664	61.681	106.182	600.938	689.449
0.000	0.000	0.000	548.942	269.883	497.903	427.438	179.841	517.192	339.055	294.136	130.101	266.223	240.217	134.399	205.797	327.986	29.368	466.106	119.638	61.702	106.315	600.960	689.899
0.000	0.000	0.000	548.887	269.810	497.971	427.337	179.856	517.226	339.024	294.038	130.299	266.265	240.126	134.425	205.797	328.018	29.363	466.110	119.642	61.699	106.427	601.027	690.477
0.000	0.000	0.000	548.807	269.737	497.967	427.299	179.824	517.320	338.992	294.039	130.139	266.245	240.109	134.437	205.776	328.022	29.343	466.112	119.661	61.730	106.509	601.020	691.003
0.000	0.000	0.000	548.730	269.636	498.055	427.212	179.796	517.374	338.973	293.970	130.355	266.088	240.238	134.347	205.818	328.047	29.331	466.069	119.655	61.709	106.779	601.171	691.511
0.000	0.000	0.000	548.665	269.579	498.059	427.136	179.786	517.437	338.939	293.952	130.341	266.092	240.191	134.362	205.809	328.070	29.352	466.097	119.678	61.712	106.924	601.196	691.968
0.000	0.000	0.000	548.598	269.496	498.074	427.114	179.752	517.531	338.936	293.935	130.364	266.098	240.192	134.464	205.812	328.012	29.330	466.104	119.635	61.697	107.040	601.199	692.480
0.000	0.000	0.000	548.495	269.448	498.085	427.048	179.728	517.596	338.920	293.883	130.411	266.072	240.077	134.387	205.846	328.024	29.294	466.114	119.627	61.697	107.123	601.205	692.964
