NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:27:47	226745.10205250
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	0.000	0.000	0.000	-3858.589	629.564	466.508	-3851.763	524.552	473.900	0.000	0.000	0.000	0.000	0.000	0.000	-3823.680	554.398	52.636	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3852.478	629.934	464.767	-3849.976	525.680	470.141	0.000	0.000	0.000	0.000	0.000	0.000	-3823.281	554.413	52.035	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3848.382	630.648	461.941	-3843.754	526.055	468.264	0.000	0.000	0.000	0.000	0.000	0.000	-3822.987	554.417	51.808	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3844.386	631.427	459.922	-3839.675	526.653	465.443	0.000	0.000	0.000	0.000	0.000	0.000	-3821.099	552.972	51.358	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3839.717	632.252	457.169	-3836.627	527.809	462.343	0.000	0.000	0.000	0.000	0.000	0.000	-3820.941	553.131	50.828	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3835.196	632.677	455.289	-3832.543	528.623	459.115	0.000	0.000	0.000	0.000	0.000	0.000	-3820.818	553.345	50.197	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3832.487	633.809	451.974	-3826.988	528.880	456.778	0.000	0.000	0.000	0.000	0.000	0.000	-3820.294	553.437	49.519	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3828.637	634.566	449.271	-3819.895	528.735	455.663	0.000	0.000	0.000	0.000	0.000	0.000	-3819.431	553.425	48.806	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3823.322	634.554	446.514	-3817.453	529.838	451.961	0.000	0.000	0.000	0.000	0.000	0.000	-3818.289	553.323	48.071	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3817.664	634.214	445.484	-3810.868	529.955	450.294	0.000	0.000	0.000	0.000	0.000	0.000	-3816.932	553.146	47.325	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3815.160	634.750	442.285	-3809.357	530.606	446.836	0.000	0.000	0.000	0.000	0.000	0.000	-3815.420	552.910	46.581	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3810.927	634.939	440.236	-3807.042	531.060	443.917	0.000	0.000	0.000	0.000	0.000	0.000	-3813.815	552.630	45.849	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3808.428	635.307	437.291	-3800.860	530.565	441.995	0.000	0.000	0.000	0.000	0.000	0.000	-3812.178	552.322	45.142	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3804.513	634.795	435.726	-3795.944	530.365	440.113	0.000	0.000	0.000	0.000	0.000	0.000	-3810.573	552.000	44.472	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3800.230	634.641	433.244	-3794.654	530.480	437.038	0.000	0.000	0.000	0.000	0.000	0.000	-3809.059	551.681	43.851	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3797.804	634.319	431.319	-3793.911	530.782	434.137	0.000	0.000	0.000	0.000	0.000	0.000	-3807.699	551.379	43.290	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3796.481	634.511	428.622	-3789.102	529.882	432.187	0.000	0.000	0.000	0.000	0.000	0.000	-3806.555	551.111	42.802	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3792.025	633.423	427.095	-3783.468	528.839	431.434	0.000	0.000	0.000	0.000	0.000	0.000	-3805.688	550.890	42.398	0.000	0.000	0.000
