NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:26:38	226676.59644540
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.007172	0.004425	-0.019684	0.126497	
-0.003510	0.001678	-0.034638	0.010223	
-0.001068	0.004425	0.003815	-0.137789	
-0.003815	0.005646	0.010529	-0.274815	
-0.008087	0.000153	0.016327	-0.294042	
0.001984	0.010223	0.026703	-0.233616	
0.000458	0.004730	0.032197	-0.113375	
0.008087	0.007782	0.036164	-0.114901	
0.006866	0.006561	0.015411	-0.095064	
0.006561	0.006256	0.008087	0.328526	
0.004730	0.002594	0.000458	0.321813	
0.009003	0.008087	0.003815	0.153353	
-0.000153	0.005035	-0.006866	0.100252	
0.000458	0.010223	-0.011139	0.049592	
-0.001984	0.005951	-0.013885	0.015106	
0.000153	0.011139	-0.007477	-0.016022	
-0.001068	0.006866	-0.003204	-0.040742	
-0.005341	0.002289	-0.005341	-0.056306	
-0.013275	0.003204	0.004120	-0.068208	
-0.017548	0.004425	0.009003	-0.076753	
-0.025482	-0.000763	0.004120	-0.075532	
-0.026398	-0.007172	0.005035	-0.075227	
-0.023041	-0.003815	0.008087	-0.070649	
-0.027618	-0.005951	0.002594	-0.066682	
-0.017853	-0.007477	0.007782	-0.060578	
-0.017242	-0.009613	0.005341	-0.056001	
-0.010223	0.003815	0.012665	-0.048066	
-0.013885	-0.000763	0.007172	-0.042268	
-0.007782	0.005035	0.008698	-0.034028	
-0.006256	0.001984	0.007782	-0.033418	
0.003204	0.003815	0.010529	-0.021515	
0.002289	-0.001373	0.010529	-0.019989	
0.009918	0.007172	0.014801	-0.012054	
0.004730	0.007782	0.010834	-0.011444	
0.005035	0.010223	0.012665	-0.002899	
0.003204	0.005035	0.012360	0.004120	
-0.001373	0.004120	0.005341	-0.003510	
0.003204	0.002289	0.005951	-0.000763	
0.002594	0.001678	0.009003	0.006256	
0.005646	0.009308	0.016022	0.013885	
-0.004425	-0.000763	0.008087	0.006866	
0.000458	0.005951	0.014801	0.012665	
0.000763	0.003204	0.008698	0.011139	
0.002289	0.004120	0.004730	0.019989	
-0.004120	0.003204	-0.001678	0.036775	
0.002289	0.008698	-0.005035	0.063935	
-0.007477	-0.001984	-0.018158	0.068208	
-0.003815	-0.002289	-0.017548	0.008087	
-0.005951	-0.005951	-0.000153	-0.060578	
-0.000763	0.001678	0.025177	-0.109713	
-0.005646	-0.006866	0.012054	0.073091	
-0.006866	0.004730	-0.000763	0.261692	
-0.011749	0.000153	-0.033418	-0.031892	
-0.012360	-0.001984	-0.009613	-0.306554	
-0.009613	0.002289	0.070039	-0.209811	
-0.010834	-0.001984	0.090180	-0.088960	
-0.006866	0.000763	0.076753	0.055696	
-0.013275	-0.001373	0.042878	0.064240	
-0.005951	0.005646	0.034028	0.092622	
-0.004120	0.004120	0.013885	0.033723	
0.000763	0.003815	0.008698	-0.003204	
-0.000153	0.003815	0.006256	0.041047	
-0.001373	0.006561	0.004730	0.071870	
-0.001678	0.005646	0.003204	0.055085	
0.001068	0.012054	0.000153	0.019073	
-0.003815	0.004425	-0.005035	0.008698	
0.001068	0.007172	0.002594	0.015106	
-0.012054	0.002899	-0.001373	-0.003815	
-0.004425	0.006256	0.009003	-0.002899	
-0.005341	0.003815	0.018768	-0.011139	
-0.006866	0.003815	0.028839	-0.017853	
-0.008087	0.006256	0.019989	-0.009308	
-0.003815	0.006256	-0.034638	-0.006256	
-0.010223	0.000458	-0.063020	-0.014191	
-0.014801	-0.005035	-0.090791	-0.019379	
-0.009003	0.004120	-0.118563	-0.020599	
-0.011139	-0.003510	-0.085908	-0.020294	
-0.005035	0.003815	0.034944	-0.007477	
-0.008392	-0.006256	0.086823	-0.017853	
-0.005951	-0.001984	0.151827	-0.009918	
-0.014801	-0.001678	0.083161	-0.016327	
-0.015106	-0.007782	0.034333	-0.024567	
-0.013580	-0.009308	0.034638	-0.021210	
-0.005341	0.001068	0.007782	-0.014191	
-0.006866	0.002289	-0.004425	-0.017853	
-0.006256	0.004425	-0.034028	-0.017242	
-0.001373	0.008087	-0.046540	-0.008392	
-0.002899	0.009308	0.036469	-0.005035	
-0.003815	0.007782	0.124361	-0.011444	
-0.005646	0.006561	0.070954	-0.013580	
-0.001068	0.013275	0.071565	-0.009918	
-0.001678	0.006866	0.058747	-0.011139	
0.005035	0.013275	0.012665	-0.005646	
0.000458	0.010834	-0.054780	-0.009003	
0.005646	0.012054	-0.120699	0.001068	
-0.001678	0.000458	-0.130465	0.001068	
0.006256	0.010223	-0.004120	0.008392	
0.006561	0.005951	0.143892	-0.001678	
0.009918	0.010529	0.071259	0.002289	
0.002594	0.003815	-0.019073	-0.001678	
0.003204	0.006561	-0.084687	0.006256	
0.002289	0.004120	-0.113985	0.005341	
0.001068	-0.000153	-0.092317	0.000153	
0.000763	-0.000763	-0.136263	-0.013580	
