NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:50:02	228080.26681630
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2914.894	825.400	1051.249	-2923.712	547.234	1051.452	-2956.390	662.254	546.701	0.000	0.000	0.000	-3049.842	648.196	131.840	0.000	0.000	0.000	0.000	0.000	0.000	-2835.435	608.428	73.686	-3132.707	695.651	1079.996
-2914.578	825.512	1051.242	-2923.508	547.402	1051.453	-2956.462	662.419	546.656	0.000	0.000	0.000	-3049.758	648.190	131.867	0.000	0.000	0.000	0.000	0.000	0.000	-2835.521	608.462	73.705	-3134.333	694.587	1080.095
-2914.591	825.563	1051.472	-2924.964	546.882	1051.433	-2956.300	662.476	546.681	0.000	0.000	0.000	-3049.780	648.257	131.871	0.000	0.000	0.000	0.000	0.000	0.000	-2835.491	608.448	73.641	-3134.254	694.780	1080.224
-2914.203	825.636	1051.375	-2924.907	547.170	1051.726	-2956.326	662.567	546.686	0.000	0.000	0.000	-3049.664	648.203	131.959	0.000	0.000	0.000	0.000	0.000	0.000	-2835.408	608.458	73.668	-3134.119	694.954	1080.292
-2913.850	825.708	1051.390	-2924.788	547.272	1051.808	-2956.211	662.623	546.682	0.000	0.000	0.000	-3049.719	648.234	132.004	0.000	0.000	0.000	0.000	0.000	0.000	-2835.450	608.437	73.645	-3133.963	695.097	1080.361
-2913.543	825.782	1051.477	-2924.737	547.381	1051.844	-2956.153	662.735	546.687	0.000	0.000	0.000	-3049.690	648.246	132.052	0.000	0.000	0.000	0.000	0.000	0.000	-2835.604	608.537	73.521	-3133.811	695.289	1080.385
-2913.291	825.861	1051.595	-2924.543	547.502	1051.915	-2956.123	662.791	546.721	0.000	0.000	0.000	-3049.595	648.252	132.082	0.000	0.000	0.000	0.000	0.000	0.000	-2835.344	608.429	73.503	-3133.649	695.448	1080.465
-2913.105	825.946	1051.703	-2924.525	547.555	1051.970	-2955.967	662.907	546.799	0.000	0.000	0.000	-3049.614	648.269	132.125	0.000	0.000	0.000	0.000	0.000	0.000	-2835.445	608.505	73.475	-3133.545	695.668	1080.523
-2912.993	826.041	1051.759	-2924.354	547.646	1052.093	-2955.949	662.964	546.750	0.000	0.000	0.000	-3049.602	648.292	132.153	0.000	0.000	0.000	0.000	0.000	0.000	-2835.291	608.489	73.507	-3133.472	695.853	1080.572
-2912.752	826.162	1051.689	-2924.329	547.701	1052.062	-2955.767	663.017	546.839	0.000	0.000	0.000	-3049.537	648.292	132.199	0.000	0.000	0.000	0.000	0.000	0.000	-2835.341	608.497	73.423	-3133.386	696.079	1080.640
