NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:46:49	227887.40875920
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.010223	0.005951	0.011139	-0.012360	
-0.012360	0.001984	0.015411	-0.017242	
0.000458	0.004425	0.026093	-0.006866	
-0.008392	-0.005035	-0.006256	-0.011444	
-0.007477	-0.001373	-0.009613	-0.004425	
-0.005341	-0.002289	-0.001984	-0.010223	
-0.005341	0.000458	0.007172	-0.007782	
-0.005035	0.003815	0.024872	-0.005646	
-0.006256	0.002289	-0.036469	-0.005035	
-0.001984	0.001068	-0.028534	-0.009308	
-0.003204	0.002899	-0.005341	-0.011749	
-0.004425	0.005035	0.001984	-0.003510	
-0.009613	0.003815	0.001984	-0.011444	
-0.003204	0.007782	0.005341	-0.005646	
-0.005951	0.000153	-0.001068	-0.008392	
-0.000153	0.005646	0.008392	-0.003204	
-0.007477	0.000153	0.017242	-0.011749	
-0.001678	0.010223	0.032502	0.001068	
-0.001678	0.005646	0.022125	-0.005646	
-0.004425	0.005951	0.033113	-0.006256	
-0.006256	0.003815	0.010529	-0.002899	
0.003204	0.010529	0.021515	0.003815	
0.006256	0.006561	-0.002289	-0.002899	
0.007172	0.009308	-0.109407	-0.007782	
0.001984	0.007782	-0.052033	-0.004425	
0.001068	0.005951	-0.028229	0.002899	
0.002594	0.008087	-0.055390	-0.005035	
-0.009308	0.004120	-0.033418	-0.012360	
-0.015106	-0.001984	-0.031892	-0.008087	
-0.028229	-0.013275	0.153658	-0.008392	
-0.031892	-0.015411	-0.018158	-0.003510	
-0.025482	-0.015717	0.027924	-0.009003	
-0.016327	-0.009918	0.240635	-0.006256	
-0.013580	-0.005035	0.123751	-0.011444	
-0.013275	-0.007172	0.024261	-0.013275	
-0.017853	-0.005035	0.109713	-0.014191	
-0.006866	0.002594	0.119783	-0.005035	
-0.005646	0.001984	-0.024261	-0.010529	
-0.004425	0.003204	-0.089875	-0.009003	
-0.010223	0.002899	0.024872	0.004425	
-0.005035	0.005646	0.097506	0.010834	
-0.003815	0.007172	0.086823	0.002899	
-0.006866	0.009308	-0.104830	-0.002899	
-0.003204	0.014496	-0.232700	-0.008392	
-0.004425	0.011749	-0.032197	-0.014496	
-0.002899	0.014801	-0.044099	-0.005035	
-0.003510	0.005951	-0.004120	-0.008392	
0.004120	0.012054	0.027313	-0.010223	
-0.000763	0.005646	0.036164	-0.012970	
-0.003815	-0.000763	0.041657	-0.014191	
-0.001068	-0.005646	0.021210	-0.009308	
0.002594	-0.006256	0.011139	-0.005035	
-0.000153	-0.007782	0.070954	-0.012054	
0.006866	0.000458	0.037690	-0.006256	
-0.001068	-0.005646	-0.001373	-0.012360	
0.000458	-0.002289	0.002899	-0.012360	
-0.003204	-0.004425	-0.027924	-0.010223	
-0.005035	-0.005951	-0.033418	-0.004120	
-0.005951	0.000153	-0.011444	-0.002289	
-0.005646	0.000458	0.001984	-0.012054	
-0.005646	0.004425	0.009308	-0.015717	
-0.005341	0.008698	0.002899	-0.013580	
-0.007782	0.011749	-0.009613	-0.014191	
-0.007477	0.009003	-0.005341	-0.015106	
-0.000153	0.008392	-0.011749	-0.005646	
-0.003204	0.008698	-0.031587	-0.009003	
-0.011139	0.014801	-0.015411	-0.008087	
-0.015717	0.010529	0.031587	-0.006866	
-0.002289	0.023346	0.093232	-0.000153	
-0.016022	0.011749	0.123751	-0.016327	
-0.002289	0.021820	0.052949	0.000763	
-0.004425	0.018158	-0.121614	0.005341	
-0.003204	0.012360	-0.106661	0.007172	
0.004120	0.010834	-0.013885	0.002899	
0.001678	0.014496	-0.019684	-0.001984	
-0.003815	0.011749	0.005035	-0.009003	
-0.001678	0.014801	0.049287	-0.011139	
-0.000153	0.017242	0.049287	-0.009613	
-0.001068	0.012360	0.100252	-0.003510	
-0.002899	0.003204	0.001984	-0.009613	
-0.006256	0.000763	-0.007477	-0.019073	
-0.003815	-0.003204	-0.007172	-0.005951	
-0.010223	-0.012970	0.081941	-0.002899	
-0.003204	-0.003204	0.042878	0.010834	
-0.007477	-0.001678	0.089570	-0.003510	
-0.003815	-0.000763	0.033418	-0.004425	
-0.010834	-0.008392	-0.381628	-0.000153	
-0.009003	-0.005341	-0.364843	0.020905	
-0.013580	-0.012970	-0.171359	0.012054	
-0.005035	-0.008392	0.115511	0.013275	
-0.008392	-0.011139	0.356604	0.005035	
-0.005341	-0.006256	0.353857	0.006561	
-0.005951	-0.008392	0.153658	-0.004120	
-0.001678	-0.001373	0.049287	-0.005951	
-0.001068	0.005035	0.123751	-0.010529	
-0.003815	0.000153	0.085298	-0.016022	
0.002289	0.012970	0.031587	-0.014496	
-0.003510	0.016022	0.000153	-0.017853	
0.002594	0.022430	-0.020294	-0.004425	
-0.003204	0.010834	-0.084382	-0.015106	
0.005035	0.012970	-0.120699	-0.009613	
