NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:16:07	226045.84438660
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Lateral Gastroc	Tibialis Anterior
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Lateral Gastroc	Tibialis Anterior	
0.132296	0.070649	0.015411	-0.015717	
0.170749	0.059052	0.024261	-0.009918	
0.131075	0.062104	0.022125	-0.008087	
-0.059968	0.080110	0.018463	0.002289	
0.008698	0.084382	0.070039	-0.005035	
0.089265	0.077363	0.091706	-0.006866	
-0.001984	0.041963	0.126497	-0.011139	
-0.126497	-0.001373	0.143892	-0.023651	
-0.118563	-0.009308	0.085298	-0.033723	
-0.033113	-0.080110	-0.070344	-0.011139	
-0.023041	-0.166171	-0.419471	0.037690	
-0.040132	-0.124056	-0.760052	0.036775	
-0.005341	-0.040132	-0.865950	0.016327	
0.000763	-0.009003	-0.500038	0.005035	
0.023956	0.058137	0.093537	-0.003510	
0.032502	0.069428	1.055161	0.002289	
0.001068	0.048676	1.019760	-0.001373	
-0.041963	0.002289	0.663310	-0.045014	
-0.068208	-0.006256	0.493324	-0.037995	
-0.013580	-0.086213	0.332799	-0.006256	
0.112154	-0.131685	-0.009308	-0.019379	
0.135347	-0.171664	-0.478981	-0.050508	
0.052949	-0.196689	-0.480507	-0.010529	
-0.044099	-0.075837	0.025482	0.006561	
-0.092317	0.101473	-0.141146	-0.002899	
-0.135958	0.320897	-0.130465	-0.025177	
-0.138704	0.347143	-0.190280	-0.013580	
-0.142061	0.272068	-0.260471	0.014801	
-0.229343	0.130770	-0.229954	-0.012970	
-0.261997	-0.025177	-0.032197	-0.006866	
-0.137484	-0.132601	0.055085	-0.000763	
0.077363	-0.145113	0.205234	0.010834	
0.113070	-0.095675	0.257114	0.010834	
0.034028	-0.043183	0.267185	0.019379	
-0.019073	-0.086823	0.067597	0.020905	
-0.138094	-0.262608	-0.265965	0.000763	
-0.160068	-0.315709	-0.161899	-0.037995	
-0.078279	-0.239109	-0.003510	-0.023346	
0.036469	-0.052339	-0.209506	0.004120	
0.031892	0.010223	-0.416419	0.000153	
0.052949	0.038911	-0.019073	0.016632	
0.062104	0.159152	0.329747	0.023041	
0.063020	0.175021	0.311742	0.005035	
0.095980	0.109102	0.528725	-0.020599	
0.116426	0.106356	0.176547	-0.014191	
0.129244	0.104219	0.057221	-0.011139	
0.106966	0.086518	-0.009918	-0.002899	
-0.023346	0.056916	-0.080720	-0.015106	
-0.023346	0.057527	0.106050	-0.017242	
0.068818	0.040437	0.053559	-0.019989	
0.118563	0.051423	0.051118	-0.017853	
0.135958	0.048066	-0.030365	-0.016632	
0.125582	0.042573	-0.266880	-0.005035	
0.031281	0.037080	-0.401464	-0.000153	
-0.053864	0.013885	-0.365759	0.005035	
-0.008392	-0.002899	0.260777	0.008087	
0.051728	0.075227	0.229649	0.002289	
-0.016327	0.069123	0.155489	0.010223	
-0.056306	-0.001984	0.093843	0.000763	
-0.029144	-0.033418	-0.062715	0.002899	
-0.005341	-0.097811	-0.363623	-0.005035	
-0.006256	-0.153048	-0.373083	0.002899	
-0.095064	-0.154573	-0.115511	-0.025787	
-0.132296	-0.071259	0.237583	-0.023651	
-0.073091	-0.027924	-0.475929	-0.009308	
0.048371	0.036164	-0.292516	0.008698	
0.096895	0.072785	0.681010	-0.011139	
0.165256	0.014801	0.714885	-0.022430	
0.104219	0.056916	0.407569	-0.020294	
0.012665	0.072785	0.155794	-0.013580	
-0.058442	0.105135	0.147249	-0.032502	
-0.125582	0.132601	-0.034333	-0.027313	
-0.138399	0.056916	-0.159762	-0.011749	
-0.116121	0.011139	-0.156405	0.001068	
-0.219883	-0.048066	-0.144808	0.000153	
-0.261692	-0.165866	-0.100252	-0.023651	
-0.140535	-0.213168	-0.019989	-0.002289	
-0.029755	-0.160983	-0.011749	-0.001068	
0.054475	-0.080720	-0.047761	-0.006866	
0.135958	-0.024261	-0.049592	-0.000153	
0.209811	0.005035	-0.026093	0.006256	
0.220798	-0.044404	-0.036469	-0.007172	
0.206454	-0.019684	-0.030060	-0.010223	
0.161593	0.042268	-0.010834	-0.002899	
0.079804	0.175937	0.024872	-0.003204	
0.096895	0.257114	0.037690	-0.001373	
-0.019684	0.125277	0.037385	0.012970	
-0.145418	0.014801	-0.021210	0.007172	
-0.142061	-0.026093	-0.080720	0.016327	
-0.099031	-0.062104	-0.018158	0.009308	
-0.103914	-0.016937	0.001068	-0.005035	
0.091401	0.057527	0.019379	-0.002289	
0.370642	0.004120	0.016937	0.001068	
0.257725	-0.017242	0.016937	-0.001373	
-0.135653	-0.022125	0.012054	-0.016327	
-0.226902	-0.008087	0.017242	-0.009003	
-0.102083	0.063325	0.014496	-0.009308	
-0.001984	0.149385	0.023346	-0.000763	
-0.034944	0.104219	0.026093	0.010223	
-0.314794	-0.001068	0.032197	0.010223	
-0.491188	-0.142366	0.034333	-0.001373	
-0.310521	-0.271763	0.037080	0.000153	
-0.012360	-0.273899	0.024261	-0.012970	
0.122835	-0.150301	0.009003	-0.043794	
0.096590	0.018768	0.026398	-0.028839	
0.048982	0.095675	0.029144	-0.016327	
0.078584	0.069123	0.024261	-0.007782	
0.114901	0.048982	0.014801	-0.007172	
0.023651	-0.040437	0.016327	-0.005646	
-0.075532	-0.198520	0.017853	-0.000153	
-0.083772	-0.234226	0.030670	0.001068	
0.003815	-0.146334	0.040132	-0.012970	
0.035249	0.014496	0.017853	-0.017853	
-0.005951	0.155489	-0.019684	-0.023346	
-0.008087	0.221104	0.005035	0.014801	
-0.013275	0.203708	0.001068	0.011444	
-0.016937	0.103609	-0.036164	-0.045625	
0.019684	0.072785	-0.047761	-0.014496	
0.032807	0.113680	0.008087	0.005341	
0.010834	0.129549	0.139620	0.005951	
-0.003204	0.098726	0.197909	-0.004425	
0.013885	0.070039	0.093232	-0.004425	
0.048676	0.054780	-0.096285	-0.003204	
0.074616	0.040742	-0.150911	-0.002899	
0.084077	0.004120	-0.056306	-0.001984	
0.082856	-0.000153	-0.064851	-0.002899	
0.058747	-0.006866	-0.024261	-0.015106	
0.064546	-0.015106	0.049287	-0.011749	
0.060273	-0.018463	0.033418	-0.019379	
0.057832	-0.018463	0.051423	-0.013580	
0.064546	-0.035859	0.134737	-0.027618	
0.090486	-0.021210	0.205234	-0.028839	
0.041963	-0.023956	0.051118	-0.022736	
-0.018158	-0.030975	0.002289	0.004120	
-0.068513	-0.043489	-0.195468	0.008392	
-0.088655	-0.027618	-0.518654	0.012665	
-0.072175	-0.009308	-0.380102	0.015411	
-0.063020	0.000458	0.187228	0.026093	
-0.077973	0.002899	-0.412147	0.023651	
-0.047456	0.006256	-0.519569	0.008698	
0.018463	0.020294	0.677653	-0.003204	
0.033723	0.030365	0.915694	-0.030365	
-0.019989	0.046235	0.265659	-0.024567	
-0.088349	0.049287	-0.156405	-0.015106	
-0.104219	0.029144	-0.132601	0.001678	
-0.066377	-0.007172	0.170444	-0.012360	
0.013885	-0.025177	0.152132	-0.011139	
0.068513	-0.011749	0.209506	0.001678	
0.052339	-0.062715	0.240330	-0.008392	
0.084077	-0.139620	-0.012970	-0.021820	
0.057221	-0.170444	0.012665	-0.009918	
0.001678	-0.139620	-0.019989	-0.009308	
-0.073091	-0.105745	-0.026093	-0.015106	
-0.136263	-0.034333	0.022125	-0.012054	
-0.075837	0.023956	-0.017242	0.006256	
0.004425	0.076447	-0.062409	0.015411	
0.010834	0.135347	-0.190280	-0.022125	
0.022736	0.128328	-0.011139	-0.025177	
0.064546	0.098421	0.080110	-0.007172	
0.238804	0.086518	-0.129549	0.000153	
0.348059	0.091706	-0.130159	0.000763	
0.251621	0.161899	-0.035554	0.008087	
0.104830	0.180209	-0.213168	-0.009308	
-0.024872	0.157931	-0.133211	-0.009308	
-0.100252	0.142672	-0.046845	-0.011749	
-0.194858	0.060578	-0.111238	0.001678	
-0.404211	-0.089570	0.126497	0.001068	
-0.479591	-0.278782	0.049287	0.001678	
-0.477455	-0.386511	-0.036164	-0.008392	
-0.330358	-0.361792	0.037385	-0.015106	
-0.117647	-0.208285	0.043489	-0.002899	
0.014496	0.017853	-0.027008	0.012665	
0.063935	0.038911	-0.209811	-0.007172	
0.092011	0.010529	0.042878	-0.000153	
0.203403	0.002289	0.042878	0.009003	
0.192111	0.004730	0.234226	-0.005035	
0.135042	0.039216	0.352331	-0.008087	
0.075227	0.024261	0.230259	-0.005341	
0.042878	0.029144	0.086213	0.012970	
0.018158	0.037995	-0.256809	0.016022	
0.014801	0.056001	-0.031281	0.022430	
0.046540	0.091096	-0.168612	-0.019989	
0.076142	0.139009	-0.439918	-0.056001	
0.140535	0.077363	-0.126802	-0.038606	
0.257420	0.077668	0.175021	-0.026703	
0.206454	0.092622	0.287633	-0.021515	
0.125582	0.137484	0.004730	0.000458	
0.055390	0.097200	0.005341	0.009308	
-0.003510	0.037385	-0.050508	-0.009003	
-0.087739	0.016937	-0.046845	-0.011749	
-0.209506	-0.038301	0.100252	0.003204	
-0.305028	-0.124056	0.067292	0.001068	
-0.330358	-0.126497	0.348364	-0.022125	
-0.215304	-0.104830	0.057221	-0.006256	
-0.087129	-0.103609	0.100252	-0.005341	
-0.019379	-0.036164	0.089875	-0.000153	
-0.013580	0.000153	0.086823	-0.005035	
0.028229	-0.028534	0.125582	-0.015717	
0.058747	-0.023346	0.053559	-0.020599	
0.059358	-0.001068	-0.014191	-0.003510	
0.056001	0.026093	-0.112764	-0.004120	
