NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:27:47	226745.10205250
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.010834	-0.003510	0.012054	-0.002899	
-0.008392	0.000153	-0.175021	-0.005035	
-0.012970	-0.003815	-0.070649	-0.014496	
-0.012360	0.002899	0.422217	-0.002289	
-0.027924	0.001678	0.096895	-0.005341	
-0.025482	0.005951	0.109407	0.004425	
-0.018463	0.004730	0.208896	-0.005646	
-0.010223	0.010223	0.023041	-0.009613	
-0.002899	0.006561	-0.013580	-0.000763	
0.005646	0.009003	-0.001984	-0.001678	
0.003815	0.005951	-0.077058	-0.005341	
0.006866	0.007172	-0.074616	-0.001068	
0.002289	0.005951	-0.063935	-0.001984	
-0.001678	-0.002289	-0.036775	-0.004120	
0.002899	-0.001984	0.062715	0.006256	
-0.005035	-0.009613	0.116121	-0.002899	
-0.005035	-0.002899	0.024872	-0.000153	
-0.009003	0.002594	-0.047761	-0.008392	
-0.007477	0.000153	0.043183	-0.001678	
-0.014191	-0.003815	0.101168	0.000153	
-0.007782	-0.002899	0.033113	0.004120	
-0.015717	-0.012970	0.004120	-0.001678	
-0.010834	-0.002899	0.032197	0.000153	
-0.007782	-0.000763	0.056916	-0.008087	
-0.001068	0.004120	-0.006866	-0.005035	
0.002289	0.008087	-0.076447	-0.004120	
0.000763	0.005035	-0.162509	-0.005951	
0.006866	0.006561	-0.140535	0.000763	
0.056306	0.005951	-0.023651	-0.001678	
0.104830	0.008698	-0.132601	-0.005035	
0.071870	0.008698	-0.005341	-0.006256	
0.023651	0.005035	0.017853	-0.004120	
-0.029144	0.000458	-0.008087	-0.005035	
-0.064240	-0.000763	0.214999	-0.000763	
-0.077973	-0.008087	0.261997	-0.006256	
-0.078584	0.011749	-0.001068	-0.002289	
-0.081330	0.004425	0.019379	-0.011749	
-0.035554	0.004425	0.009003	0.001068	
0.000153	-0.000763	-0.011139	-0.003204	
0.006561	-0.004120	-0.049897	-0.002899	
0.014496	-0.011749	-0.063020	-0.007782	
0.016632	-0.007172	0.026093	-0.011444	
0.001984	-0.004120	0.013275	-0.019379	
-0.009308	0.001678	-0.108187	-0.031587	
-0.035249	0.004120	-0.193637	-0.021515	
-0.037690	0.017242	-0.205539	-0.013275	
0.054170	0.018463	-0.146639	-0.011139	
0.108492	0.016327	-0.026398	-0.007477	
0.037995	0.036469	0.350500	-0.005341	
-0.078584	0.024567	0.188754	-0.011444	
-0.142366	0.017853	-0.034028	-0.003815	
-0.097200	0.015106	-0.017548	-0.005951	
-0.045930	0.023041	0.213168	0.000763	
-0.023346	0.006256	0.252842	-0.009003	
-0.007782	0.001068	-0.112459	-0.012970	
0.003815	0.004425	0.241245	-0.003510	
0.019684	0.004425	0.356298	0.012360	
0.031281	-0.005951	0.095980	0.009308	
0.030365	-0.009308	-0.179904	-0.013275	
0.015717	-0.001068	-0.152742	-0.021820	
0.000763	0.009003	0.204623	-0.007172	
-0.013580	0.014801	0.090180	-0.007172	
-0.018158	0.021820	-0.029144	0.000458	
-0.026398	0.010834	-0.080415	-0.003510	
-0.012970	0.016937	-0.097200	-0.014191	
0.005951	0.016632	-0.225681	-0.011749	
0.017242	-0.005341	-0.173495	-0.005035	
0.029755	-0.007172	-0.049897	0.014191	
0.057221	-0.007782	0.010529	0.005035	
0.111544	0.000763	-0.034028	-0.009003	
0.074311	0.003204	-0.023041	-0.037385	
0.007782	0.013275	-0.011749	-0.057221	
-0.057527	-0.002289	-0.009613	-0.050508	
-0.067292	-0.023956	-0.009308	-0.009613	
-0.055085	-0.043794	-0.006866	0.006866	
-0.041963	-0.050508	-0.004120	-0.003510	
-0.031281	-0.054170	-0.004425	0.019379	
-0.022430	-0.045625	-0.015411	0.025177	
0.004425	-0.042268	-0.016327	0.019989	
0.036775	-0.042573	-0.048371	0.018768	
0.053254	-0.016937	0.030670	0.026093	
0.022736	0.017853	0.122530	0.036775	
-0.085908	0.054780	-0.003204	0.012970	
-0.132601	0.042573	0.002899	-0.004120	
-0.055390	0.038911	0.049592	-0.023346	
-0.006256	0.023346	0.041657	-0.037385	
0.034944	0.014496	0.018463	-0.042878	
0.030060	0.010529	-0.001068	-0.050813	
0.012665	0.042573	0.007782	-0.017242	
-0.041352	0.058442	0.014191	0.014496	
-0.057221	0.049897	0.019989	0.044709	
-0.052949	0.023041	0.001984	0.038301	
-0.025482	-0.008392	-0.001678	0.018463	
0.072480	-0.065461	0.005035	-0.021820	
0.209811	-0.091401	0.011139	-0.030365	
0.166781	-0.076753	0.009308	-0.051728	
0.009003	-0.037385	0.008087	-0.039826	
-0.104525	-0.023956	0.017853	0.010834	
-0.094149	-0.023956	0.010529	0.039521	
-0.037385	0.013885	0.024567	0.009003	
0.011139	0.052949	0.036164	0.008392	
0.055085	0.072175	0.052949	0.023041	
0.081025	0.060578	0.050202	0.049287	
