NO_OF_SAMPLES	28800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:29:21	226839.36048560
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.011749	-0.182040	-0.196994	-0.010223	
-0.045625	-0.172275	-0.244602	-0.005951	
-0.058442	-0.105745	-0.066072	-0.005646	
-0.060578	-0.033723	-0.106050	-0.006866	
-0.045014	0.008087	0.136568	-0.005035	
-0.027313	0.059968	0.309911	0.006561	
-0.014801	0.077363	0.154268	-0.011139	
0.159457	0.128633	-0.083161	-0.009308	
0.114901	0.138704	-0.001678	-0.010529	
-0.002289	0.097811	0.093537	0.002289	
-0.001373	0.066377	0.007782	0.000153	
-0.008392	0.071565	0.079194	-0.005341	
-0.031892	0.039216	0.060273	-0.007477	
-0.055696	-0.023956	0.016937	-0.005646	
-0.070954	-0.042268	-0.031587	-0.012054	
-0.037690	-0.004425	-0.024567	-0.007782	
-0.019073	0.022736	0.005341	-0.004120	
-0.023956	0.026093	0.029144	-0.001984	
-0.029449	0.028839	-0.021515	-0.004425	
-0.034333	0.017853	-0.103914	-0.005035	
-0.031587	-0.001068	-0.156405	0.003204	
-0.012360	0.010223	-0.217135	-0.007172	
0.016327	0.052033	0.126192	-0.002899	
0.018463	0.082856	0.284886	-0.010529	
0.027924	0.094149	0.086213	-0.006256	
0.021210	0.056611	0.018158	-0.010529	
0.026398	0.030975	0.081025	0.007172	
0.007172	0.011749	0.034028	-0.003204	
0.005035	0.005646	-0.107882	-0.006256	
0.013275	0.000153	-0.096895	-0.013580	
0.009918	-0.009308	-0.067903	-0.010223	
-0.010834	-0.004425	-0.476540	-0.007477	
-0.001068	0.011749	-0.389257	0.006256	
-0.003815	0.001678	0.198215	0.018158	
-0.003815	-0.006256	0.103609	0.006866	
-0.000763	-0.005951	-0.334935	-0.005646	
-0.012054	-0.019379	0.370642	-0.004120	
-0.013580	-0.044404	0.738079	0.002289	
-0.003204	-0.081941	0.404821	-0.015106	
0.059968	-0.099947	0.074922	-0.010223	
0.200351	-0.112459	-0.373083	-0.007172	
0.132601	-0.081635	-0.373388	0.005951	
-0.107576	-0.061799	0.061799	0.002899	
-0.182040	-0.009308	0.337682	0.008392	
-0.201571	0.040437	0.266880	-0.016632	
-0.142061	0.076447	0.142061	-0.014496	
-0.060578	0.080720	0.136263	-0.014191	
-0.015411	0.096285	0.036775	-0.016327	
-0.001678	0.125582	-0.027618	-0.018158	
0.019684	0.145113	-0.026093	-0.009918	
0.027008	0.113070	-0.000153	-0.013580	
0.020905	0.028839	-0.007477	-0.011749	
0.005035	-0.077668	-0.050508	-0.008392	
-0.029755	-0.124056	-0.139009	-0.011749	
-0.007782	-0.104219	-0.162814	-0.007477	
0.013275	-0.077363	-0.083161	-0.009918	
-0.008087	-0.072480	0.195773	-0.003204	
0.002899	-0.072785	0.047761	-0.011749	
0.034944	-0.049897	-0.211642	-0.005035	
0.054780	-0.044404	-0.057527	-0.002899	
0.060884	-0.004120	0.047151	-0.005646	
0.050202	0.012970	-0.061494	-0.015717	
0.029755	0.030975	-0.152742	0.000763	
-0.140535	0.008698	-0.108797	-0.009308	
-0.047761	-0.005646	-0.017853	-0.010223	
0.102694	0.031892	0.184482	-0.006256	
0.092011	0.115206	0.143892	-0.005646	
0.032197	0.182956	-0.113985	-0.010223	
-0.007172	0.180820	0.099947	-0.006256	
-0.007477	0.088655	-0.002289	0.008087	
-0.027008	-0.063935	-0.028229	0.005035	
-0.016327	-0.115511	-0.137789	-0.008087	
0.001984	-0.083467	-0.225986	-0.013580	
0.006561	-0.043489	-0.009003	-0.006866	
-0.023346	-0.050202	0.127718	-0.015106	
-0.032502	-0.077668	0.053864	-0.005646	
-0.023346	-0.088655	0.120394	-0.015106	
-0.008087	-0.056001	0.058747	-0.003204	
-0.018158	-0.035249	-0.023346	-0.006866	
-0.017853	-0.009308	-0.097200	-0.005951	
-0.047151	-0.002289	-0.381323	-0.007172	
-0.031281	0.033418	-0.096590	-0.006866	
-0.014191	0.066072	0.329442	-0.009003	
-0.000763	0.038606	0.291600	-0.002899	
0.010223	-0.033723	0.230259	-0.007172	
0.008087	-0.038301	-0.124361	-0.008087	
0.005035	-0.023651	-0.502174	-0.012970	
-0.013580	0.002594	-0.360876	-0.006256	
-0.023956	0.022430	0.331578	0.012970	
-0.025787	0.018768	0.130465	0.005341	
-0.014801	0.030975	0.139620	-0.003510	
-0.018158	0.022736	0.390783	-0.020294	
-0.009613	0.044099	0.342259	-0.016327	
-0.001373	0.062104	0.274815	-0.007172	
-0.001068	0.079194	0.033113	-0.001678	
-0.012970	0.084382	-0.098116	-0.013580	
-0.012970	0.072785	-0.157626	-0.007782	
0.007782	0.046540	-0.035554	-0.005035	
-0.016937	0.069428	0.158237	-0.007172	
0.004120	0.118868	0.082856	-0.006256	
0.117037	0.097811	-0.071870	-0.009003	
