NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:22:49	226447.36453350
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.021515	-0.008392	0.002289	-0.008392	
-0.002289	-0.011749	-0.007172	0.006256	
-0.011139	-0.031281	-0.200961	0.002594	
-0.019379	-0.041047	-0.218051	-0.005646	
-0.023651	-0.013885	0.071565	-0.007172	
-0.005035	0.002289	0.216525	-0.007782	
0.008087	0.012970	-0.163424	-0.011139	
0.021210	0.017853	-0.080415	-0.016327	
0.033723	0.004730	0.191806	-0.017853	
0.036469	0.004120	-0.002899	-0.010223	
0.011749	0.033113	-0.223545	0.007782	
-0.025177	0.028839	0.005035	0.014496	
-0.008087	0.013885	-0.131075	0.011139	
-0.009613	-0.000763	-0.127718	-0.014496	
-0.012970	0.004425	0.338902	-0.016022	
-0.035554	0.000763	0.124971	-0.022430	
-0.053864	0.008087	-0.124056	0.001068	
-0.053864	-0.009613	-0.041657	0.010223	
-0.017853	-0.005341	0.224461	-0.003204	
0.016937	-0.001068	-0.069734	-0.014191	
0.054170	0.007172	0.046235	-0.014191	
0.036469	0.005646	0.089570	-0.017548	
0.009918	0.008698	-0.127718	-0.013580	
-0.025787	0.016327	-0.030365	-0.009003	
-0.048371	0.009308	0.231480	-0.006866	
-0.056916	0.015106	0.334630	-0.004120	
-0.060578	0.002289	0.179599	-0.012970	
-0.027008	0.003815	0.239109	-0.014191	
-0.004120	0.000763	0.214084	-0.021820	
0.021210	0.001068	0.071870	-0.002289	
0.078279	0.013275	-0.251621	-0.000763	
0.074006	0.013275	-0.294652	-0.004120	
0.034028	0.000153	-0.209811	-0.005951	
-0.005341	0.011139	-0.139315	0.028229	
-0.029144	0.014496	0.113985	0.018768	
-0.015411	0.030975	-0.196994	-0.009308	
-0.012360	0.034333	-0.509804	-0.015106	
-0.012054	0.026093	-0.135042	-0.014496	
-0.033418	0.008087	0.150606	-0.017242	
-0.033418	-0.016937	-0.036164	-0.009308	
-0.019989	-0.039826	0.306249	-0.008087	
0.004730	-0.048066	0.226292	-0.002899	
0.027924	-0.034944	0.101778	0.000763	
0.034028	-0.029144	0.005951	-0.005341	
0.030060	-0.011139	-0.125277	-0.000763	
-0.002289	-0.007782	-0.067597	-0.009003	
0.004730	-0.002289	0.331273	-0.006866	
0.021210	0.005951	-0.029144	-0.007477	
0.034028	0.010834	-0.023956	-0.001678	
0.018463	0.004425	-0.215304	-0.007172	
0.004730	0.007782	-0.168002	0.001678	
0.000763	0.007172	0.219578	0.005951	
-0.014191	0.036775	0.399023	0.008087	
-0.027924	0.048982	0.138704	-0.000763	
-0.031892	0.032197	0.026093	-0.002899	
-0.033723	-0.007782	-0.196383	-0.012054	
-0.029755	-0.030060	-0.327611	-0.012970	
-0.018158	-0.033113	-0.164950	-0.021515	
-0.019684	-0.024261	0.077668	-0.010529	
-0.009613	-0.010223	0.041352	0.001678	
-0.010223	-0.000763	0.194552	0.003815	
-0.012970	-0.007782	0.348974	0.011139	
-0.025482	-0.002899	0.012054	0.002899	
-0.015106	0.010834	-0.023651	0.000153	
-0.011749	-0.005341	0.018463	-0.010223	
-0.001678	0.001984	-0.148775	-0.011444	
0.014191	-0.012054	-0.107882	-0.007782	
0.039216	-0.005646	-0.049897	-0.000763	
0.014191	-0.012054	-0.013885	-0.015106	
-0.002899	0.004730	0.079499	-0.006866	
0.006256	0.011749	0.255589	-0.017242	
0.027008	0.004120	0.176852	-0.017853	
0.017242	-0.006256	0.113985	-0.015717	
0.002899	0.003204	-0.027008	0.006561	
0.009918	0.013275	-0.361486	0.022125	
0.013275	0.012665	0.089570	0.015106	
0.015717	0.027313	-0.003204	-0.009308	
-0.015106	0.021820	-0.302892	-0.039826	
-0.023956	0.023041	0.079499	-0.025787	
-0.020905	0.016327	0.121920	-0.007477	
-0.010223	0.011749	0.047761	-0.008392	
-0.000763	0.000763	-0.004120	-0.007477	
-0.001678	-0.003510	-0.084687	-0.007477	
0.005035	-0.001068	-0.302281	-0.014191	
-0.008087	0.008087	-0.230259	-0.000153	
-0.029755	0.012054	-0.301366	-0.006866	
-0.014191	0.016022	-0.257114	0.008087	
-0.019989	0.030670	0.047456	0.015106	
-0.031892	0.053254	0.346838	0.005951	
-0.046235	0.041963	0.436866	-0.013275	
-0.054170	0.037385	0.386816	-0.017242	
-0.043489	0.011139	0.511635	-0.016327	
-0.009613	-0.035859	0.148470	-0.005341	
0.018158	-0.035249	-0.171664	0.001068	
0.019073	-0.009308	-0.064240	-0.004425	
0.060273	0.004120	0.311742	-0.001678	
0.093843	-0.002899	-0.244297	-0.015106	
0.059358	-0.014191	-0.310826	-0.012360	
0.025787	-0.023651	0.174411	-0.005035	
0.012360	-0.012360	0.184176	0.011444	
0.003815	-0.023041	-0.124666	0.006256	
-0.030060	-0.003204	-0.126192	0.004425	
-0.063325	0.001068	-0.369116	0.002289	
-0.083161	0.003815	0.014191	0.003815	
-0.098116	-0.001678	0.004730	-0.012054	
-0.066072	0.006561	0.297704	-0.017242	
-0.038911	0.008087	0.180209	-0.015717	
-0.029449	-0.002899	-0.023346	-0.010223	
-0.016022	0.008392	-0.140841	-0.003510	
0.012970	0.008698	-0.272678	-0.005035	
0.002899	0.005951	-0.320897	-0.002899	
0.013275	0.000763	-0.199740	-0.006256	
0.031281	0.006561	-0.060578	-0.008392	
0.010529	0.004730	0.050508	-0.012360	
0.034028	0.000458	0.204318	-0.000763	
0.049287	-0.008392	0.272984	-0.005646	
0.042573	0.007172	0.190280	0.002289	
0.040742	0.013275	0.085908	-0.009308	
0.066682	0.023956	0.044709	-0.005646	
0.018463	0.021820	0.077668	-0.007477	
-0.005035	0.030670	0.474098	-0.009003	
-0.008392	0.040437	0.373999	-0.006256	
0.022736	0.019379	0.016022	0.000763	
0.016632	-0.017548	-0.146944	0.005951	
0.010529	-0.053864	-0.417945	0.018463	
-0.020905	-0.075532	-0.664836	0.006561	
-0.097200	-0.073701	-0.609903	-0.002899	
-0.160068	-0.049897	0.057832	-0.017853	
