NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:30:04	426810.82491320
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	inMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	inMedThighR X	inMedThighR Y	inMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
0.000	0.000	0.000	-2947.563	866.489	1030.627	-2932.861	605.676	1021.707	-3167.242	719.481	1081.710	0.000	0.000	0.000	0.000	0.000	0.000	-3003.665	897.095	618.238	-2936.776	818.956	598.637	-2958.719	533.811	720.290	-2907.031	580.740	697.755	-2975.345	542.645	621.280	-2936.268	589.925	611.589	-3018.299	872.345	552.114	-3015.647	743.485	538.457	-3038.346	559.967	559.986	0.000	0.000	0.000	-3041.045	891.974	449.749	-3108.009	888.000	444.817	-3038.967	896.479	350.867	-3110.540	901.860	356.440	-3039.333	540.788	435.987	-3112.780	528.262	420.418	0.000	0.000	0.000	-3116.603	532.242	325.241	0.000	0.000	0.000	0.000	0.000	0.000	-2861.185	839.238	61.444	-2847.240	599.097	62.880	-3086.600	550.844	128.445	-3071.852	638.582	130.741	-3106.441	868.075	122.319	-3079.226	782.075	135.036	-2957.446	549.457	84.895	-2983.328	623.461	107.905	0.000	0.000	0.000	-2973.378	880.085	79.780	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2947.607	866.531	1030.720	-2932.685	605.618	1021.739	-3167.114	719.466	1081.733	0.000	0.000	0.000	0.000	0.000	0.000	-3003.614	897.099	618.259	-2936.662	818.971	598.622	-2958.745	533.844	720.294	-2907.082	580.815	697.727	-2975.307	542.692	621.315	-2936.122	589.939	611.557	-3018.001	872.192	551.875	-3015.569	743.511	538.414	-3038.027	559.937	559.884	0.000	0.000	0.000	-3040.969	891.937	449.729	-3108.017	888.062	444.948	-3038.948	896.518	350.935	-3110.485	901.897	356.481	-3038.923	540.591	436.024	-3112.559	528.164	420.375	0.000	0.000	0.000	-3116.490	532.148	325.218	0.000	0.000	0.000	0.000	0.000	0.000	-2861.266	839.287	61.405	-2847.230	599.124	62.874	-3086.558	550.673	128.865	-3071.860	638.640	130.784	-3106.341	868.059	122.219	-3078.484	781.740	135.538	-2957.410	549.438	84.871	-2983.204	623.417	107.946	0.000	0.000	0.000	-2973.429	880.085	79.808	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2947.347	866.474	1030.596	-2932.897	605.627	1021.677	-3166.990	719.452	1081.723	0.000	0.000	0.000	0.000	0.000	0.000	-3003.497	897.098	618.227	-2936.414	818.894	598.615	-2958.155	533.870	720.070	-2906.984	580.779	697.660	-2975.311	542.769	621.261	-2936.126	589.954	611.526	-3017.940	872.206	551.895	-3015.476	743.516	538.456	-3037.857	559.963	559.902	0.000	0.000	0.000	-3040.934	891.950	449.763	-3107.897	888.020	444.897	-3038.804	896.444	350.885	-3110.451	901.905	356.497	-3038.696	540.546	436.057	-3112.522	528.171	420.359	0.000	0.000	0.000	-3116.704	532.606	325.321	0.000	0.000	0.000	0.000	0.000	0.000	-2861.216	839.203	61.431	-2847.180	599.127	62.819	-3086.599	550.705	128.853	-3071.907	638.411	130.752	-3106.443	868.134	122.220	-3078.346	781.669	135.595	-2957.478	549.454	84.954	-2983.179	623.461	107.890	0.000	0.000	0.000	-2973.465	880.050	79.775	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2947.126	866.393	1030.548	-2931.874	605.584	1021.450	-3166.859	719.408	1081.769	0.000	0.000	0.000	0.000	0.000	0.000	-3003.421	897.082	618.246	-2936.511	818.903	598.505	-2958.087	533.876	720.021	-2906.889	580.786	697.669	-2975.138	542.691	621.289	-2935.901	589.911	611.466	-3017.859	872.233	551.901	-3015.379	743.508	538.486	-3038.014	559.980	559.997	-3013.702	692.488	530.423	-3040.833	891.907	449.761	-3107.812	887.999	444.903	-3038.773	896.419	350.901	-3110.366	901.895	356.515	-3038.624	540.655	436.008	-3112.384	528.124	420.370	0.000	0.000	0.000	-3116.693	532.877	325.392	0.000	0.000	0.000	0.000	0.000	0.000	-2861.094	839.333	61.112	-2847.231	599.110	62.805	-3086.557	550.747	128.836	-3071.844	638.456	130.681	-3106.349	868.152	122.238	-3078.496	781.669	135.542	-2957.450	549.420	84.904	-2983.164	623.439	107.910	0.000	0.000	0.000	-2973.432	880.030	79.783	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.998	866.350	1030.525	-2931.486	605.403	1021.932	-3166.714	719.373	1081.786	0.000	0.000	0.000	0.000	0.000	0.000	-3003.342	897.066	618.273	-2936.182	818.840	598.512	-2958.054	533.891	719.997	-2906.607	580.756	697.538	-2974.960	542.643	621.223	-2935.652	589.886	611.503	-3017.757	872.195	551.887	-3015.279	743.528	538.462	-3037.800	559.969	559.908	-3013.316	692.418	530.341	-3040.762	891.920	449.775	-3107.710	887.969	444.960	-3038.757	896.439	350.926	-3110.278	901.868	356.518	-3038.478	540.572	436.075	-3112.187	528.088	420.357	0.000	0.000	0.000	-3116.636	532.830	325.390	0.000	0.000	0.000	0.000	0.000	0.000	-2861.103	839.346	61.091	-2847.198	599.002	63.015	-3086.525	550.670	128.850	-3071.869	638.699	130.826	-3106.257	868.045	122.254	-3078.510	781.735	135.512	-2957.442	549.418	84.847	-2983.219	623.419	107.904	0.000	0.000	0.000	-2973.258	879.951	79.770	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.881	866.360	1030.535	-2931.834	605.443	1021.679	-3166.549	719.325	1081.736	0.000	0.000	0.000	0.000	0.000	0.000	-3003.242	897.068	618.266	-2936.049	818.845	598.601	-2957.842	533.837	720.028	-2906.093	580.785	697.492	-2974.708	542.675	621.302	-2935.755	589.956	611.447	-3017.921	872.284	552.181	-3015.200	743.484	538.446	-3037.427	559.915	559.773	-3013.307	692.483	530.268	-3040.629	891.859	449.748	-3107.601	887.942	444.974	-3038.665	896.400	350.952	-3110.161	901.831	356.517	-3038.015	540.443	436.158	-3112.026	528.026	420.267	0.000	0.000	0.000	-3116.541	532.854	325.342	0.000	0.000	0.000	0.000	0.000	0.000	-2861.207	839.170	61.369	-2847.111	599.015	62.983	-3086.445	550.666	128.889	-3071.741	638.461	130.596	-3106.264	867.999	122.202	-3079.378	782.035	134.988	-2957.420	549.480	84.836	-2983.131	623.430	107.876	0.000	0.000	0.000	-2973.359	879.988	79.786	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.741	866.314	1030.524	-2932.661	605.481	1021.504	-3166.408	719.291	1081.770	0.000	0.000	0.000	0.000	0.000	0.000	-3003.142	897.059	618.223	-2935.954	818.802	598.598	-2957.853	533.862	720.020	-2905.913	580.752	697.539	-2974.768	542.639	621.248	-2935.622	589.935	611.431	-3017.577	872.169	551.916	-3014.852	743.398	538.484	-3037.308	559.843	559.915	-3013.140	692.484	530.042	-3040.584	891.887	449.796	-3107.577	887.948	445.026	-3038.592	896.415	350.937	-3110.110	901.844	356.581	-3038.422	540.688	436.090	-3112.023	528.043	420.316	0.000	0.000	0.000	-3116.481	532.889	325.432	0.000	0.000	0.000	0.000	0.000	0.000	-2861.034	839.350	61.052	-2847.198	599.109	62.758	-3086.432	550.845	128.469	-3071.747	638.645	130.751	-3106.302	868.001	122.253	-3078.198	781.577	135.586	-2957.427	549.490	84.908	-2983.097	623.454	107.869	0.000	0.000	0.000	-2973.252	879.952	79.724	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.617	866.351	1030.510	-2932.933	605.511	1021.400	-3165.702	719.696	1081.740	0.000	0.000	0.000	0.000	0.000	0.000	-3003.024	897.018	618.206	-2935.707	818.719	598.630	-2957.648	533.829	720.056	-2906.201	580.666	697.707	-2974.671	542.631	621.228	-2935.508	589.911	611.434	-3017.770	872.261	552.205	-3014.943	743.457	538.483	-3037.317	559.994	559.887	-3012.607	692.490	529.733	-3040.512	891.869	449.817	-3107.492	887.928	445.031	-3038.616	896.476	351.021	-3110.083	901.880	356.632	-3038.098	540.539	436.112	-3111.929	528.060	420.350	0.000	0.000	0.000	-3116.436	532.898	325.408	0.000	0.000	0.000	0.000	0.000	0.000	-2861.041	839.299	61.036	-2847.114	599.101	62.740	-3086.480	550.701	128.869	-3071.758	638.660	130.737	-3106.193	867.972	122.304	-3079.082	781.968	135.013	-2957.398	549.452	84.796	-2983.053	623.453	107.929	0.000	0.000	0.000	-2973.342	879.953	79.762	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.523	866.324	1030.515	-2933.166	605.503	1021.321	-3165.572	719.680	1081.752	0.000	0.000	0.000	0.000	0.000	0.000	-3002.964	897.030	618.249	-2935.563	818.696	598.538	-2957.966	533.772	720.231	-2905.813	580.607	697.679	-2974.691	542.681	621.202	-2935.301	589.888	611.472	-3017.436	872.136	551.953	-3014.800	743.399	538.477	-3037.319	560.000	559.933	-3012.530	692.422	529.778	-3040.457	891.866	449.827	-3107.508	887.974	445.161	-3038.541	896.452	351.020	-3103.316	896.546	349.218	-3038.098	540.539	436.110	-3111.844	528.081	420.339	0.000	0.000	0.000	-3116.405	532.895	325.457	0.000	0.000	0.000	0.000	0.000	0.000	-2861.127	839.153	61.382	-2847.162	599.121	62.730	-3086.378	550.879	128.516	-3071.799	638.462	130.758	-3106.168	867.979	122.237	-3079.303	782.024	135.012	-2957.392	549.460	84.796	-2983.126	623.474	107.882	0.000	0.000	0.000	-2973.308	879.981	79.710	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.377	866.307	1030.489	-2933.335	605.551	1021.287	-3165.453	719.621	1081.786	0.000	0.000	0.000	0.000	0.000	0.000	-3002.866	896.991	618.211	-2935.663	818.741	598.622	-2957.486	533.866	719.992	-2905.462	580.683	697.560	-2974.627	542.704	621.242	-2935.446	589.947	611.482	-3017.361	872.127	551.970	-3014.748	743.385	538.469	-3037.235	559.942	560.058	-3012.536	692.492	529.771	-3040.345	891.820	449.808	-3107.338	887.866	445.084	-3038.553	896.485	351.059	-3109.961	901.825	356.635	-3038.025	540.513	436.149	-3111.877	528.011	420.411	0.000	0.000	0.000	-3116.288	532.775	325.410	0.000	0.000	0.000	0.000	0.000	0.000	-2861.089	839.334	61.041	-2847.092	599.104	62.746	-3086.475	550.694	128.845	-3071.806	638.580	130.798	-3105.991	867.881	122.203	-3078.288	781.597	135.577	-2957.394	549.455	84.838	-2983.068	623.520	107.928	0.000	0.000	0.000	-2973.254	879.941	79.702	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.309	866.300	1030.526	-2933.191	605.549	1021.256	-3165.323	719.605	1081.797	0.000	0.000	0.000	0.000	0.000	0.000	-3002.872	897.009	618.311	-2935.575	818.704	598.627	-2957.615	533.856	719.947	-2905.665	580.704	697.482	-2974.656	542.739	621.291	-2935.305	589.961	611.344	-3017.190	872.048	551.849	-3014.914	743.413	538.474	-3036.989	559.920	559.941	-3012.666	692.573	529.642	-3040.347	891.819	449.833	-3107.270	887.855	445.038	-3038.443	896.412	351.005	-3103.173	896.464	349.150	-3038.007	540.508	436.082	-3111.762	528.020	420.386	0.000	0.000	0.000	-3116.391	532.955	325.498	0.000	0.000	0.000	0.000	0.000	0.000	-2861.091	839.292	61.014	-2847.134	599.108	62.707	-3086.308	550.814	128.529	-3071.821	638.446	130.799	-3106.145	867.979	122.321	-3078.272	781.572	135.607	-2957.398	549.469	84.830	-2983.047	623.452	107.966	0.000	0.000	0.000	-2973.292	879.949	79.770	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2946.229	866.281	1030.524	-2933.037	605.543	1021.291	-3165.194	719.557	1081.833	0.000	0.000	0.000	0.000	0.000	0.000	-3002.778	896.984	618.270	-2935.576	818.705	598.621	-2957.459	533.838	719.980	-2905.488	580.678	697.471	-2974.452	542.619	621.228	-2935.329	589.922	611.365	-3017.208	872.077	552.003	-3014.707	743.425	538.500	-3037.128	559.926	559.992	-3012.518	692.533	529.680	-3040.238	891.769	449.805	-3107.253	887.845	445.090	-3038.435	896.431	351.044	-3109.871	901.781	356.676	-3038.106	540.611	436.097	-3111.636	527.933	420.375	0.000	0.000	0.000	-3116.365	532.919	325.506	0.000	0.000	0.000	0.000	0.000	0.000	-2861.107	839.321	61.086	-2847.164	599.160	62.717	-3086.360	550.846	128.544	-3071.734	638.404	130.669	-3106.205	867.955	122.387	-3078.280	781.572	135.613	-2957.400	549.484	84.837	-2983.064	623.425	107.948	0.000	0.000	0.000	-2973.350	879.972	79.793	0.000	0.000	0.000	0.000	0.000	0.000
