NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:19:17	426163.54571810
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	inMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	inMedThighR X	inMedThighR Y	inMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
0.000	0.000	0.000	-2929.763	877.358	1034.733	-2917.470	617.282	1025.982	-3147.945	733.404	1080.369	-2954.286	919.777	712.730	0.000	0.000	0.000	-2993.080	894.179	599.082	-2924.144	822.970	573.710	-2930.708	540.781	759.047	-2877.795	586.843	739.138	-2938.297	547.522	658.163	-2897.235	593.684	650.853	-3010.123	870.834	544.355	0.000	0.000	0.000	-3011.269	573.107	561.408	0.000	0.000	0.000	-3099.209	887.257	450.145	-3022.199	884.079	447.168	-3160.999	955.687	447.314	0.000	0.000	0.000	-3082.435	542.661	420.927	-3011.414	554.936	437.494	0.000	0.000	0.000	0.000	0.000	0.000	-3066.177	762.254	136.823	0.000	0.000	0.000	-2843.259	809.216	62.872	-2815.697	614.512	63.703	-3092.013	849.015	120.443	0.000	0.000	0.000	-3055.796	566.689	129.094	-3041.252	654.840	130.503	-2957.802	855.351	79.670	0.000	0.000	0.000	0.000	0.000	0.000	-2928.421	564.303	83.890	0.000	0.000	0.000	-2955.174	640.187	106.665
0.000	0.000	0.000	-2929.794	877.388	1034.736	-2917.537	617.244	1025.997	-3147.937	733.329	1080.386	-2954.356	919.841	712.800	0.000	0.000	0.000	-2992.982	894.117	599.092	-2924.049	822.899	573.690	-2930.700	540.778	758.995	-2877.980	586.828	739.064	-2938.402	547.600	658.043	-2897.215	593.678	650.756	-3010.138	870.808	544.369	0.000	0.000	0.000	-3011.165	573.111	561.302	0.000	0.000	0.000	-3099.268	887.311	450.173	-3022.285	884.122	447.213	-3161.134	955.764	447.423	0.000	0.000	0.000	-3082.388	542.583	420.897	-3011.465	554.869	437.444	0.000	0.000	0.000	0.000	0.000	0.000	-3066.199	762.381	136.762	0.000	0.000	0.000	-2843.280	809.209	62.923	-2815.562	614.450	63.751	-3092.076	849.060	120.334	0.000	0.000	0.000	-3055.666	566.681	129.101	-3041.220	654.765	130.482	-2957.693	855.310	79.640	0.000	0.000	0.000	0.000	0.000	0.000	-2928.465	564.347	83.802	0.000	0.000	0.000	-2955.100	640.136	106.676
0.000	0.000	0.000	-2929.809	877.348	1034.729	-2917.236	617.185	1025.628	-3147.880	733.284	1080.377	-2954.424	919.832	712.823	0.000	0.000	0.000	-2993.111	894.148	599.045	-2924.106	822.921	573.699	-2930.704	540.787	758.940	-2877.675	586.714	739.058	-2938.428	547.558	658.033	-2897.006	593.620	650.821	-3010.133	870.765	544.345	0.000	0.000	0.000	-3010.331	572.661	561.805	0.000	0.000	0.000	-3099.262	887.223	450.205	-3022.276	884.092	447.181	-3161.052	955.680	447.343	0.000	0.000	0.000	-3082.380	542.561	420.882	-3011.236	554.692	437.553	0.000	0.000	0.000	0.000	0.000	0.000	-3066.290	762.357	136.686	0.000	0.000	0.000	-2843.196	809.200	62.762	-2815.513	614.448	63.768	-3092.165	849.087	120.500	0.000	0.000	0.000	-3055.554	566.644	129.028	-3041.237	654.766	130.539	-2957.747	855.365	79.636	0.000	0.000	0.000	0.000	0.000	0.000	-2928.438	564.304	83.866	0.000	0.000	0.000	-2955.101	640.107	106.687
0.000	0.000	0.000	-2929.784	877.271	1034.712	-2917.360	617.183	1026.026	-3147.831	733.194	1080.374	-2954.505	919.883	712.921	0.000	0.000	0.000	-2993.088	894.049	599.162	-2924.010	822.859	573.699	-2930.753	540.776	758.923	-2877.817	586.728	739.078	-2938.397	547.551	658.003	-2897.246	593.692	650.825	-3010.185	870.751	544.355	0.000	0.000	0.000	-3010.247	572.625	561.842	0.000	0.000	0.000	-3099.296	887.222	450.129	-3022.252	884.025	447.168	-3161.056	955.646	447.322	0.000	0.000	0.000	-3082.431	542.540	420.898	-3011.548	554.907	437.454	0.000	0.000	0.000	0.000	0.000	0.000	-3066.194	762.274	136.810	0.000	0.000	0.000	-2843.148	809.174	62.742	-2815.673	614.495	63.724	-3092.141	849.095	120.433	0.000	0.000	0.000	-3055.605	566.623	129.045	-3041.253	654.775	130.524	-2957.729	855.319	79.631	0.000	0.000	0.000	0.000	0.000	0.000	-2928.371	564.249	83.791	0.000	0.000	0.000	-2955.195	640.144	106.674
0.000	0.000	0.000	-2928.908	876.981	1034.148	-2917.366	617.182	1025.993	-3147.807	733.151	1080.372	-2954.394	919.756	712.779	0.000	0.000	0.000	-2993.214	894.160	598.951	-2924.021	822.847	573.701	-2930.680	540.713	758.939	-2877.674	586.712	739.186	-2938.443	547.571	658.052	-2897.225	593.647	650.766	-3010.219	870.742	544.379	0.000	0.000	0.000	-3010.361	572.658	561.787	0.000	0.000	0.000	-3099.368	887.238	450.179	-3022.282	884.025	447.214	-3161.072	955.637	447.359	0.000	0.000	0.000	-3082.413	542.546	420.937	-3011.392	554.799	437.505	0.000	0.000	0.000	0.000	0.000	0.000	-3066.254	762.332	136.778	0.000	0.000	0.000	-2843.254	809.184	62.898	-2815.573	614.478	63.733	-3092.039	849.012	120.438	0.000	0.000	0.000	-3055.540	566.619	129.022	-3041.184	654.759	130.493	-2957.781	855.287	79.658	0.000	0.000	0.000	0.000	0.000	0.000	-2928.484	564.325	83.921	0.000	0.000	0.000	-2955.222	640.143	106.615
0.000	0.000	0.000	-2928.938	876.991	1034.157	-2917.538	617.215	1025.993	-3147.809	733.123	1080.385	-2954.363	919.692	712.748	0.000	0.000	0.000	-2992.901	894.015	599.129	-2924.251	822.881	573.670	-2930.631	540.720	758.978	-2877.822	586.802	739.057	-2938.267	547.457	658.053	-2897.133	593.616	650.724	-3010.259	870.755	544.384	0.000	0.000	0.000	-3010.215	572.582	561.814	0.000	0.000	0.000	-3099.380	887.208	450.196	-3022.335	884.023	447.231	-3161.068	955.606	447.296	0.000	0.000	0.000	-3082.407	542.458	420.871	-3011.539	554.836	437.464	0.000	0.000	0.000	0.000	0.000	0.000	-3066.295	762.360	136.784	0.000	0.000	0.000	-2843.305	809.190	62.920	-2815.631	614.495	63.774	-3092.176	849.046	120.521	0.000	0.000	0.000	-3055.593	566.676	129.091	-3041.242	654.787	130.553	-2957.697	855.286	79.626	0.000	0.000	0.000	0.000	0.000	0.000	-2928.439	564.272	83.819	0.000	0.000	0.000	-2955.167	640.111	106.707
0.000	0.000	0.000	-2928.905	876.908	1034.171	-2917.420	617.181	1025.919	-3147.818	733.086	1080.423	-2954.461	919.723	712.791	0.000	0.000	0.000	-2993.170	894.099	599.051	-2924.129	822.826	573.677	-2930.656	540.743	758.893	-2877.736	586.734	739.060	-2938.339	547.537	658.055	-2897.187	593.628	650.734	-3010.342	870.753	544.427	0.000	0.000	0.000	-3010.159	572.502	561.813	0.000	0.000	0.000	-3099.464	887.270	450.212	-3022.337	884.025	447.234	-3161.145	955.661	447.358	0.000	0.000	0.000	-3082.443	542.485	420.903	-3011.513	554.806	437.384	0.000	0.000	0.000	0.000	0.000	0.000	-3066.310	762.361	136.737	0.000	0.000	0.000	-2843.269	809.176	62.908	-2815.587	614.512	63.714	-3092.113	849.033	120.471	0.000	0.000	0.000	-3055.718	566.678	129.057	-3041.282	654.814	130.523	-2957.716	855.339	79.592	0.000	0.000	0.000	0.000	0.000	0.000	-2928.530	564.354	83.898	0.000	0.000	0.000	-2955.100	640.104	106.706
0.000	0.000	0.000	-2928.942	876.890	1034.149	-2917.326	617.175	1025.609	-3147.801	733.040	1080.433	-2954.450	919.699	712.741	0.000	0.000	0.000	-2993.408	894.084	599.020	-2924.194	822.829	573.674	-2930.613	540.772	758.910	-2877.850	586.750	739.047	-2938.372	547.479	658.009	-2897.097	593.587	650.733	-3010.284	870.690	544.368	0.000	0.000	0.000	-3011.232	573.011	561.327	0.000	0.000	0.000	-3099.416	887.196	450.194	-3022.387	884.011	447.229	-3161.093	955.574	447.313	0.000	0.000	0.000	-3082.434	542.510	420.880	-3011.295	554.651	437.513	0.000	0.000	0.000	0.000	0.000	0.000	-3066.343	762.340	136.743	0.000	0.000	0.000	-2843.294	809.200	62.923	-2815.665	614.525	63.694	-3092.141	849.087	120.438	0.000	0.000	0.000	-3055.752	566.720	128.899	-3041.228	654.764	130.485	-2957.731	855.320	79.606	0.000	0.000	0.000	0.000	0.000	0.000	-2928.478	564.326	83.841	0.000	0.000	0.000	-2955.088	640.148	106.694
0.000	0.000	0.000	-2928.913	876.842	1034.157	-2917.289	617.170	1025.958	-3147.788	732.994	1080.420	-2954.540	919.713	712.854	0.000	0.000	0.000	-2993.284	894.030	599.114	-2924.211	822.833	573.647	-2930.680	540.655	758.868	-2877.680	586.676	739.144	-2938.368	547.447	658.055	-2897.162	593.592	650.715	-3010.346	870.707	544.417	0.000	0.000	0.000	-3010.337	572.560	561.787	0.000	0.000	0.000	-3099.466	887.219	450.231	-3022.418	884.025	447.282	-3161.062	955.517	447.237	0.000	0.000	0.000	-3082.437	542.440	420.892	-3011.441	554.734	437.448	0.000	0.000	0.000	0.000	0.000	0.000	-3066.200	762.294	136.765	0.000	0.000	0.000	-2843.272	809.152	62.870	-2815.656	614.514	63.698	-3092.066	849.039	120.490	0.000	0.000	0.000	-3055.673	566.634	129.098	-3041.215	654.790	130.513	-2957.761	855.300	79.642	0.000	0.000	0.000	0.000	0.000	0.000	-2928.481	564.224	83.821	0.000	0.000	0.000	-2955.205	640.105	106.617
0.000	0.000	0.000	-2928.958	876.846	1034.181	-2917.256	617.127	1025.581	-3147.808	732.947	1080.446	-2954.580	919.702	712.880	0.000	0.000	0.000	-2992.914	893.961	599.057	-2924.239	822.805	573.671	-2930.721	540.633	758.895	-2877.574	586.756	738.985	-2938.335	547.494	658.020	-2897.222	593.629	650.690	-3010.260	870.629	544.329	0.000	0.000	0.000	-3010.305	572.510	561.788	0.000	0.000	0.000	-3099.477	887.198	450.175	-3022.368	883.966	447.213	-3161.253	955.637	447.454	0.000	0.000	0.000	-3082.180	542.352	420.636	-3011.356	554.655	437.454	0.000	0.000	0.000	0.000	0.000	0.000	-3066.273	762.301	136.736	0.000	0.000	0.000	-2843.173	809.176	62.732	-2815.622	614.476	63.701	-3092.151	849.044	120.460	0.000	0.000	0.000	-3055.688	566.680	129.048	-3041.219	654.741	130.462	-2957.752	855.309	79.632	0.000	0.000	0.000	0.000	0.000	0.000	-2928.508	564.331	83.865	0.000	0.000	0.000	-2954.955	640.025	106.655
