NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:40:43	427449.83163350
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	infMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	infMedThighR X	infMedThighR Y	infMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
88.483	752.660	1292.654	141.610	596.541	1025.596	111.849	861.765	1015.212	350.568	756.455	1049.555	117.049	492.685	787.556	62.512	559.801	773.594	138.945	510.567	664.034	65.999	589.276	648.481	116.495	962.097	827.593	60.183	922.955	805.913	113.702	972.855	726.799	68.405	930.969	716.096	158.284	527.655	552.263	136.312	649.556	519.511	174.092	956.687	560.567	136.783	832.728	516.351	185.273	488.263	449.505	258.836	498.454	454.884	189.387	473.147	352.610	261.598	478.598	362.297	176.466	993.241	434.530	254.154	998.130	425.087	201.568	1012.660	352.425	260.500	1009.382	327.618	338.088	511.521	106.666	332.196	961.400	103.147	23.061	463.278	65.412	11.622	1000.596	63.371	264.805	466.787	131.106	229.993	551.445	132.245	248.410	1013.243	134.764	234.495	926.985	130.710	135.406	436.503	84.001	146.844	516.502	103.466	92.967	499.586	85.281	132.213	1035.304	88.426	147.243	957.377	108.846	94.489	969.828	88.353
88.239	752.510	1292.673	141.548	596.407	1025.616	111.709	861.695	1015.193	350.459	756.375	1049.573	116.776	492.646	787.525	62.269	559.829	773.503	138.690	510.536	664.009	65.814	589.302	648.449	116.339	962.054	827.594	60.260	923.104	805.893	113.607	972.809	726.806	68.327	930.890	716.069	158.037	527.628	552.256	136.095	649.499	519.508	173.725	956.304	560.490	136.797	832.697	516.388	185.100	488.217	449.464	258.667	498.424	454.892	189.280	473.145	352.603	261.452	478.597	362.296	176.518	993.166	434.560	254.182	998.013	425.057	201.549	1012.591	352.451	260.553	1009.332	327.665	338.059	511.565	106.605	332.215	961.392	103.183	23.053	463.251	65.467	11.626	1000.612	63.387	264.813	466.767	131.083	229.788	551.406	132.079	248.387	1013.223	134.727	234.449	926.989	130.691	135.426	436.493	84.085	146.823	516.561	103.455	93.034	499.571	85.297	132.229	1035.312	88.414	147.226	957.419	108.822	94.512	969.817	88.370
88.126	752.476	1292.585	141.386	596.388	1025.557	111.422	861.568	1015.245	350.289	756.358	1049.553	116.546	492.614	787.525	62.157	559.803	773.598	138.393	510.509	664.002	65.621	589.286	648.451	116.245	962.012	827.564	60.182	923.062	805.855	113.463	972.727	726.789	68.218	930.825	716.054	157.823	527.618	552.213	135.854	649.466	519.553	174.026	956.557	560.563	136.722	832.618	516.358	184.910	488.196	449.458	258.470	498.407	454.875	189.188	473.102	352.578	261.331	478.572	362.295	176.535	993.094	434.547	254.156	997.947	425.044	201.589	1012.546	352.438	260.565	1009.288	327.692	338.050	511.572	106.619	332.194	961.425	103.164	23.024	463.300	65.424	11.588	1000.637	63.355	264.817	466.771	131.145	229.688	551.402	132.021	248.373	1013.223	134.708	234.422	926.966	130.674	135.320	436.549	84.012	146.796	516.624	103.468	93.040	499.592	85.259	132.205	1035.319	88.441	147.192	957.428	108.870	94.888	969.552	88.815
87.851	752.270	1292.621	141.300	596.280	1025.581	111.243	861.476	1015.225	350.155	756.280	1049.551	116.547	492.522	787.677	61.829	559.760	773.542	138.198	510.475	663.974	65.433	589.296	648.441	116.082	961.962	827.555	60.035	922.985	805.861	113.373	972.693	726.789	68.078	930.741	716.061	157.617	527.611	552.226	135.612	649.436	519.543	173.602	956.177	560.450	136.663	832.544	516.356	184.727	488.161	449.409	258.289	498.363	454.841	189.056	473.089	352.536	261.203	478.540	362.303	176.485	992.989	434.552	254.180	997.843	425.080	201.533	1012.467	352.412	260.542	1009.214	327.689	338.055	511.584	106.573	332.208	961.433	103.157	23.031	463.330	65.459	11.587	1000.621	63.368	264.780	466.782	131.121	229.392	551.267	131.690	248.390	1013.189	134.777	234.424	926.979	130.679	135.310	436.566	84.010	146.847	516.520	103.446	92.962	499.551	85.272	132.223	1035.342	88.414	146.863	957.184	109.037	94.970	969.686	87.733
87.635	752.158	1292.581	141.112	596.245	1025.582	111.083	861.373	1015.226	349.983	756.218	1049.510	116.325	492.473	787.655	61.592	559.665	773.597	137.941	510.417	663.926	65.204	589.270	648.444	116.050	961.895	827.566	59.941	922.929	805.796	113.273	972.586	726.757	68.012	930.633	716.007	157.455	527.585	552.213	135.465	649.382	519.555	173.600	956.119	560.425	136.602	832.447	516.298	184.570	488.111	449.394	258.173	498.312	454.869	188.946	473.063	352.489	261.067	478.485	362.255	176.426	992.915	434.525	254.163	997.733	425.106	201.565	1012.455	352.437	260.582	1009.148	327.700	338.056	511.554	106.596	332.195	961.412	103.157	23.050	463.308	65.456	11.581	1000.643	63.354	264.796	466.790	131.163	229.713	551.943	132.376	248.415	1013.173	134.759	234.378	926.982	130.675	135.350	436.550	84.049	146.812	516.620	103.455	93.039	499.597	85.270	132.220	1035.307	88.397	147.210	957.438	108.873	94.472	969.785	88.342
87.518	751.953	1292.565	140.972	596.168	1025.587	111.008	861.314	1015.211	349.851	756.147	1049.501	116.104	492.444	787.645	61.331	559.532	773.482	137.768	510.342	663.901	65.034	589.199	648.434	115.923	961.836	827.508	59.852	922.855	805.780	113.206	972.497	726.697	67.929	930.560	716.006	157.295	527.549	552.198	135.316	649.343	519.529	173.542	956.038	560.429	136.613	832.328	516.345	184.383	488.038	449.349	257.997	498.259	454.841	188.838	473.023	352.441	260.940	478.468	362.277	176.426	992.838	434.537	254.140	997.660	425.109	201.562	1012.379	352.433	260.541	1009.098	327.709	338.061	511.592	106.628	332.221	961.386	103.182	23.042	463.265	65.461	11.613	1000.632	63.347	264.762	466.780	131.134	229.820	551.442	132.105	248.398	1013.170	134.788	234.448	926.930	130.687	135.333	436.541	84.039	146.849	516.559	103.450	92.990	499.581	85.236	132.205	1035.285	88.420	146.837	957.157	109.012	94.977	969.643	87.736
87.437	751.826	1292.383	140.816	596.091	1025.643	110.871	861.228	1015.225	349.696	756.052	1049.455	115.862	492.360	787.593	61.216	559.479	773.387	137.501	510.308	663.849	64.809	589.136	648.429	115.894	961.801	827.518	59.930	923.140	805.419	113.156	972.384	726.672	67.893	930.459	715.931	157.115	527.543	552.185	135.236	649.290	519.496	173.841	956.310	560.511	136.489	832.281	516.317	184.217	487.983	449.316	257.874	498.167	454.863	188.717	472.997	352.396	260.828	478.366	362.256	176.382	992.777	434.498	254.093	997.592	425.101	201.497	1012.271	352.401	260.527	1009.018	327.720	338.053	511.563	106.624	332.210	961.376	103.194	23.061	463.285	65.482	11.593	1000.607	63.368	264.712	466.743	131.132	229.703	551.877	132.363	248.382	1013.150	134.756	234.439	926.885	130.665	135.359	436.526	84.028	146.828	516.582	103.471	93.042	499.592	85.241	132.255	1035.240	88.446	146.838	957.126	109.011	94.964	969.651	87.740
87.237	751.602	1292.347	140.586	596.080	1025.688	110.790	861.170	1015.219	349.545	755.948	1049.437	115.762	492.261	787.624	60.906	559.546	773.349	137.340	510.264	663.829	64.620	589.104	648.389	115.762	961.738	827.462	58.977	922.003	805.797	113.099	972.325	726.589	67.810	930.367	715.875	156.924	527.523	552.179	135.072	649.271	519.506	173.480	955.900	560.375	136.442	832.206	516.253	184.063	487.945	449.279	257.719	498.118	454.851	188.573	472.971	352.313	260.708	478.371	362.315	176.383	992.727	434.528	254.047	997.512	425.089	201.476	1012.257	352.404	260.497	1008.970	327.723	338.051	511.572	106.569	332.223	961.360	103.185	23.096	463.274	65.480	11.585	1000.606	63.341	264.719	466.783	131.161	229.663	551.827	132.319	248.334	1013.092	134.773	234.465	926.889	130.684	135.395	436.495	84.091	146.866	516.547	103.436	93.027	499.564	85.282	132.235	1035.269	88.443	146.943	957.115	108.962	94.962	969.608	87.768
87.123	751.473	1292.325	140.460	596.038	1025.703	110.633	861.128	1015.185	349.376	755.883	1049.340	115.470	492.220	787.605	60.836	559.475	773.250	137.149	510.230	663.819	64.403	589.090	648.369	115.652	961.653	827.426	58.835	921.942	805.719	112.986	972.235	726.555	67.686	930.312	715.850	156.708	527.531	552.172	134.938	649.276	519.503	173.373	955.873	560.338	136.401	832.124	516.219	183.884	487.898	449.244	257.580	498.087	454.843	188.449	472.947	352.277	260.558	478.300	362.276	176.336	992.659	434.492	254.006	997.448	425.116	201.367	1012.177	352.354	260.436	1008.932	327.726	338.067	511.569	106.580	332.239	961.348	103.202	23.055	463.258	65.468	11.595	1000.596	63.338	264.737	466.767	131.159	229.668	551.860	132.325	248.348	1013.093	134.771	234.408	926.860	130.684	135.364	436.518	84.035	146.855	516.589	103.443	92.991	499.567	85.254	132.227	1035.246	88.444	146.891	957.099	108.994	94.985	969.663	87.731
86.813	751.193	1292.383	140.463	595.865	1025.695	110.478	861.074	1015.162	349.216	755.806	1049.298	115.354	492.114	787.586	60.555	559.481	773.237	136.939	510.201	663.801	64.238	589.066	648.378	115.229	961.370	827.412	58.799	921.910	805.720	112.937	972.210	726.537	67.572	930.236	715.838	156.515	527.528	552.156	134.780	649.289	519.465	173.255	955.798	560.339	136.330	832.080	516.267	183.694	487.905	449.244	257.416	498.077	454.849	188.357	472.918	352.246	260.442	478.293	362.247	176.250	992.588	434.484	253.991	997.393	425.099	201.325	1012.092	352.385	260.420	1008.887	327.748	338.059	511.599	106.581	332.212	961.334	103.173	23.055	463.294	65.451	11.588	1000.637	63.323	264.725	466.755	131.136	229.669	551.858	132.326	248.355	1013.092	134.755	234.426	926.861	130.669	135.381	436.543	84.035	146.845	516.562	103.429	93.009	499.594	85.292	132.234	1035.234	88.403	146.835	957.098	108.991	94.954	969.638	87.742
