NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:14:37	425883.44637840
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	infMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	infMedThighR X	infMedThighR Y	infMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
465.830	725.205	1321.543	416.411	873.836	1028.869	448.971	613.619	1016.421	211.252	713.537	1062.107	369.294	966.567	753.048	438.621	920.690	725.258	337.741	956.222	628.710	424.091	899.636	597.874	421.584	518.562	765.983	468.457	566.964	740.938	411.227	517.471	664.919	447.402	566.169	652.807	315.565	937.257	556.523	365.711	819.529	522.640	326.179	530.582	563.303	357.839	658.771	519.623	292.260	967.045	462.219	222.084	943.357	461.687	289.761	989.692	366.080	220.235	970.814	370.983	319.428	497.597	445.523	243.838	495.481	425.642	304.118	477.843	361.170	250.120	485.502	327.667	183.315	919.845	108.414	216.732	542.619	102.614	473.814	1050.877	60.564	531.517	469.159	60.640	238.549	982.184	129.394	295.895	910.057	131.880	291.808	480.804	133.809	316.717	567.203	130.743	354.981	1048.643	82.407	365.980	969.641	102.176	413.937	1001.809	82.767	407.278	447.258	88.338	400.415	526.933	108.335	452.184	508.274	88.068
465.805	725.158	1321.529	416.409	873.797	1028.854	448.975	613.584	1016.417	211.307	713.605	1062.033	368.734	966.576	752.603	438.681	920.627	725.247	337.762	956.237	628.713	424.118	899.591	597.831	421.553	518.543	765.988	468.431	566.949	740.930	411.178	517.431	664.924	447.392	566.144	652.803	315.595	937.239	556.515	365.754	819.512	522.653	326.118	530.570	563.312	357.829	658.685	519.684	292.258	967.028	462.226	222.124	943.362	461.722	289.784	989.645	366.059	220.287	970.815	371.007	319.415	497.588	445.510	243.876	495.422	425.631	304.112	477.863	361.176	250.081	485.536	327.688	183.314	919.830	108.420	216.719	542.632	102.598	473.799	1050.858	60.558	531.499	469.157	60.611	238.563	982.177	129.377	295.897	910.053	131.843	292.009	480.823	133.945	316.691	567.216	130.763	354.972	1048.687	82.375	366.112	969.879	101.863	413.910	1001.856	82.728	407.267	447.246	88.352	400.431	526.918	108.343	452.171	508.278	88.055
465.804	725.168	1321.544	416.428	873.706	1028.781	449.002	613.528	1016.449	211.362	713.620	1062.022	368.763	966.530	752.562	438.751	920.617	725.259	337.818	956.223	628.718	424.148	899.535	597.833	421.554	518.481	765.987	468.436	566.886	740.971	411.186	517.427	664.912	447.390	566.116	652.796	315.636	937.232	556.514	365.801	819.426	522.626	326.146	530.554	563.287	357.865	658.652	519.710	292.270	967.022	462.192	222.083	943.343	461.703	289.766	989.638	366.079	220.259	970.792	370.982	319.410	497.569	445.501	243.850	495.378	425.634	304.132	477.868	361.178	250.051	485.498	327.682	183.333	919.822	108.426	216.744	542.635	102.576	473.801	1050.862	60.562	531.526	469.188	60.611	238.550	982.164	129.366	295.927	910.038	131.857	291.852	480.872	133.787	316.720	567.208	130.752	354.999	1048.654	82.391	366.030	969.621	102.203	413.932	1001.866	82.679	407.294	447.258	88.336	400.474	526.921	108.262	452.141	508.283	88.063
465.769	725.152	1321.563	416.444	873.706	1028.830	448.990	613.490	1016.454	211.351	713.576	1062.025	368.774	966.455	752.560	438.765	920.576	725.278	337.842	956.168	628.729	424.184	899.495	597.844	421.577	518.470	766.078	468.451	566.857	740.980	411.181	517.393	664.909	447.404	566.083	652.825	315.579	937.178	556.505	365.826	819.417	522.641	326.163	530.516	563.310	357.838	658.633	519.686	292.320	966.987	462.226	222.097	943.293	461.698	289.804	989.603	366.075	220.281	970.724	370.986	319.516	497.740	445.368	243.930	495.478	425.452	304.097	477.813	361.151	250.064	485.458	327.659	183.302	919.868	108.405	216.728	542.613	102.606	473.822	1050.880	60.550	531.516	469.192	60.618	238.540	982.146	129.369	295.927	910.042	131.892	291.836	480.839	133.786	316.642	567.204	130.701	354.968	1048.651	82.401	366.114	969.548	102.176	413.959	1001.840	82.697	407.301	447.287	88.383	400.481	526.928	108.324	452.147	508.268	88.073
465.774	725.141	1321.552	416.453	873.665	1028.818	448.984	613.450	1016.451	211.348	713.523	1062.033	369.433	966.401	752.992	438.792	920.564	725.275	337.877	956.131	628.674	424.201	899.485	597.845	421.551	518.403	766.004	468.440	566.830	740.982	411.187	517.370	664.920	447.429	566.043	652.834	315.649	937.120	556.493	365.898	819.371	522.667	326.138	530.518	563.262	357.873	658.602	519.712	292.394	966.951	462.236	222.157	943.232	461.717	289.854	989.597	366.091	220.295	970.731	370.972	319.460	497.528	445.489	243.901	495.322	425.628	304.127	477.793	361.159	250.097	485.413	327.688	183.316	919.861	108.399	216.740	542.642	102.585	473.818	1050.860	60.550	531.507	469.170	60.621	238.555	982.141	129.362	295.904	910.044	131.855	291.889	480.829	133.771	316.638	567.213	130.710	354.984	1048.641	82.363	366.193	969.852	101.889	414.018	1001.789	82.774	407.211	447.298	88.296	400.431	526.943	108.306	452.168	508.272	88.061
465.749	725.136	1321.542	416.488	873.616	1028.773	448.971	613.412	1016.451	211.342	713.411	1062.014	369.441	966.375	752.999	438.822	920.508	725.226	337.918	956.071	628.691	424.259	899.415	597.837	421.581	518.379	766.051	468.444	566.769	741.020	411.192	517.345	664.928	447.398	566.012	652.855	315.689	937.074	556.461	365.880	819.348	522.618	326.182	530.452	563.322	357.862	658.568	519.727	292.366	966.918	462.206	222.201	943.226	461.732	289.836	989.569	366.109	220.308	970.753	370.976	319.460	497.499	445.484	243.977	495.297	425.671	304.134	477.740	361.126	250.104	485.397	327.638	183.351	919.819	108.420	216.753	542.600	102.592	473.859	1050.860	60.534	531.520	469.141	60.616	238.592	982.108	129.389	295.929	910.038	131.855	291.907	480.802	133.774	316.666	567.199	130.671	355.024	1048.608	82.378	366.113	969.622	102.228	414.059	1001.823	82.745	407.240	447.257	88.299	400.461	526.932	108.339	452.187	508.250	88.035
465.741	725.127	1321.559	416.486	873.579	1028.792	448.979	613.356	1016.453	211.344	713.296	1062.032	369.482	966.317	752.988	438.890	920.436	725.258	337.954	956.023	628.694	424.289	899.362	597.842	421.546	518.310	766.034	468.440	566.750	741.001	411.203	517.280	664.945	447.439	565.947	652.862	315.717	937.045	556.475	365.916	819.334	522.618	326.164	530.447	563.298	357.859	658.528	519.702	292.392	966.897	462.220	222.226	943.186	461.709	289.900	989.555	366.074	220.349	970.722	371.034	319.480	497.445	445.489	243.959	495.269	425.673	304.180	477.715	361.162	250.134	485.344	327.638	183.368	919.803	108.451	216.738	542.600	102.593	473.864	1050.839	60.562	531.520	469.153	60.614	238.576	982.135	129.366	295.930	910.039	131.855	291.902	480.735	133.779	316.675	567.188	130.719	355.084	1048.595	82.409	366.164	969.847	101.838	414.092	1001.821	82.775	407.228	447.313	88.294	400.483	526.921	108.244	452.170	508.242	88.073
465.672	725.134	1321.556	416.536	873.561	1028.849	448.944	613.326	1016.455	211.347	713.349	1062.026	369.501	966.299	752.998	438.912	920.395	725.261	337.984	955.991	628.700	424.276	899.369	597.832	421.564	518.297	766.046	468.432	566.702	741.006	411.212	517.245	664.953	447.431	565.921	652.870	315.786	937.030	556.492	365.971	819.292	522.644	326.216	530.342	563.324	357.890	658.495	519.753	292.406	966.861	462.241	222.285	943.133	461.734	289.884	989.535	366.083	220.397	970.693	371.021	319.596	497.604	445.402	244.083	495.287	425.545	304.163	477.672	361.150	250.181	485.354	327.681	183.357	919.793	108.426	216.749	542.567	102.599	473.878	1050.842	60.564	531.548	469.137	60.633	238.616	982.075	129.343	295.964	910.018	131.919	291.883	480.758	133.794	316.684	567.192	130.729	355.023	1048.609	82.386	366.128	969.874	101.858	414.013	1001.794	82.767	407.341	447.229	88.398	400.450	526.924	108.343	452.157	508.250	88.066
465.660	725.129	1321.533	416.523	873.497	1028.788	448.945	613.275	1016.513	211.405	713.301	1062.021	369.520	966.255	752.986	438.916	920.356	725.234	338.062	955.975	628.721	424.322	899.325	597.805	421.527	518.242	766.039	468.468	566.646	741.023	411.187	517.213	664.940	447.452	565.860	652.887	315.771	937.019	556.461	365.988	819.254	522.630	326.196	530.348	563.336	357.907	658.451	519.748	292.418	966.836	462.245	222.282	943.129	461.705	289.930	989.533	366.047	220.422	970.672	371.019	319.506	497.404	445.496	244.031	495.224	425.741	304.198	477.676	361.150	250.175	485.335	327.693	183.385	919.782	108.443	216.754	542.611	102.579	473.848	1050.864	60.550	531.526	469.156	60.608	238.622	982.129	129.398	295.924	910.000	131.847	291.906	480.742	133.770	316.662	567.186	130.668	355.054	1048.609	82.373	366.131	969.614	102.179	414.005	1001.812	82.735	407.316	447.275	88.407	400.433	526.907	108.335	452.157	508.250	88.086
465.617	725.172	1321.546	416.526	873.450	1028.825	448.914	613.218	1016.482	211.350	713.346	1062.002	369.545	966.229	752.971	438.946	920.302	725.257	338.020	955.914	628.708	424.360	899.315	597.803	421.591	518.204	766.122	468.470	566.601	741.025	411.214	517.178	664.965	447.444	565.823	652.891	315.827	936.991	556.489	366.010	819.238	522.611	326.283	530.281	563.364	357.866	658.434	519.737	292.462	966.828	462.262	222.307	943.115	461.728	289.882	989.484	366.075	220.422	970.673	371.018	319.543	497.371	445.507	243.980	495.214	425.677	304.223	477.657	361.159	250.211	485.300	327.690	183.359	919.786	108.440	216.717	542.600	102.607	473.846	1050.865	60.520	531.512	469.148	60.656	238.591	982.120	129.396	295.990	910.008	131.884	291.870	480.829	133.796	316.682	567.180	130.674	355.038	1048.621	82.376	366.139	969.855	101.803	413.949	1001.876	82.675	407.293	447.231	88.375	400.435	526.915	108.334	452.164	508.288	88.086
